time, theta, alpha, low_beta, high_beta, gamma,
2108.0 ,  153.564144849 ,  53.9611415342 ,  26.5281361791 ,  12.8418666423 ,  5.83234715124 , 
2108.0 ,  140.199534349 ,  53.7178629699 ,  21.8651121756 ,  13.7430751626 ,  7.89201348647 , 
2108.0 ,  88.6405101377 ,  34.5273997619 ,  29.4547152317 ,  12.3787862305 ,  4.66246365843 , 
2108.0 ,  150.110923292 ,  49.2259128708 ,  23.5147188345 ,  14.1411792842 ,  9.04786138344 , 
2108.0 ,  160.236887972 ,  55.0018399903 ,  28.9619244556 ,  13.4600247583 ,  5.99079782364 , 
2208.0 ,  153.564144849 ,  53.9611415342 ,  26.5281361791 ,  12.8418666423 ,  5.83234715124 , 
2208.0 ,  140.199534349 ,  53.7178629699 ,  21.8651121756 ,  13.7430751626 ,  7.89201348647 , 
2208.0 ,  88.6405101377 ,  34.5273997619 ,  29.4547152317 ,  12.3787862305 ,  4.66246365843 , 
2208.0 ,  150.110923292 ,  49.2259128708 ,  23.5147188345 ,  14.1411792842 ,  9.04786138344 , 
2208.0 ,  160.236887972 ,  55.0018399903 ,  28.9619244556 ,  13.4600247583 ,  5.99079782364 , 
2309.0 ,  35.5228482765 ,  10.7900163057 ,  2.41343854047 ,  1.28614858214 ,  1.40132971958 , 
2309.0 ,  41.9503725893 ,  15.8592607812 ,  3.50285050218 ,  4.81630281615 ,  3.99853433635 , 
2309.0 ,  1.48641712367 ,  4.44919466966 ,  9.30926431974 ,  3.80599081928 ,  1.39325501594 , 
2309.0 ,  42.2582505549 ,  8.72160859756 ,  2.01550985456 ,  3.36547977326 ,  5.0167733081 , 
2309.0 ,  39.4563043383 ,  10.0540082885 ,  3.41744027179 ,  1.12376036705 ,  1.31165113763 , 
2409.0 ,  36.3350962585 ,  11.7364049778 ,  3.64180582984 ,  1.68156808188 ,  1.5166651672 , 
2409.0 ,  35.0128771435 ,  17.1394235704 ,  4.84922390983 ,  5.31176527335 ,  4.22259142093 , 
2409.0 ,  2.33573097016 ,  4.43073422081 ,  7.20679579056 ,  3.04086847229 ,  1.49004493749 , 
2409.0 ,  36.6125597387 ,  8.40023358149 ,  3.32424112253 ,  4.03919072749 ,  5.05139710552 , 
2409.0 ,  45.142599397 ,  17.5447270634 ,  6.68773570569 ,  1.7005490505 ,  1.47748462998 , 
2509.0 ,  56.6023889006 ,  14.8569990891 ,  5.75231864434 ,  2.72161787707 ,  1.79764072552 , 
2509.0 ,  38.0281620744 ,  22.4780955353 ,  7.90813904032 ,  6.05852069542 ,  4.42579169815 , 
2509.0 ,  5.34960813475 ,  4.86414004218 ,  5.98756268694 ,  2.35963227655 ,  1.70451221479 , 
2509.0 ,  36.1202660276 ,  12.6624490713 ,  5.39449480559 ,  4.7246933925 ,  5.15396730263 , 
2509.0 ,  60.8858970879 ,  24.1726714029 ,  8.7471624401 ,  2.89813592155 ,  1.59413028973 , 
2610.0 ,  327.178868114 ,  129.367460271 ,  40.6261189882 ,  10.5628047818 ,  3.68159176472 , 
2610.0 ,  34.7403301303 ,  28.4950291884 ,  12.8185440868 ,  7.33696868464 ,  4.61008020121 , 
2610.0 ,  11.1915205995 ,  6.2770517158 ,  6.20637609755 ,  2.48922261244 ,  2.55611968006 , 
