time, theta, alpha, low_beta, high_beta, gamma,
2106.0 ,  848.814800719 ,  241.288315261 ,  237.891838978 ,  39.4958641341 ,  8.15318493369 , 
2106.0 ,  118.903676995 ,  52.2614918701 ,  24.6999929009 ,  15.3558032663 ,  8.51816220608 , 
2106.0 ,  129.414334977 ,  43.6454855845 ,  25.0331394117 ,  10.8949445031 ,  7.98602391178 , 
2106.0 ,  123.560310191 ,  36.6539108409 ,  17.2546525427 ,  9.29711871671 ,  4.31604591434 , 
2106.0 ,  142.193532586 ,  55.2535522912 ,  19.2449094711 ,  8.99980132944 ,  5.84528947664 , 
2609.0 ,  618.343971258 ,  301.16533389 ,  110.051078592 ,  32.848012171 ,  5.49938906231 , 
2609.0 ,  10.4330789372 ,  5.85385444831 ,  3.71120312236 ,  2.86441178814 ,  3.26576275829 , 
2609.0 ,  4.73511567395 ,  5.46610152712 ,  6.78533290385 ,  3.59118428443 ,  4.29879910834 , 
2609.0 ,  26.0619073525 ,  12.579337608 ,  3.32632303671 ,  2.48371987025 ,  1.40285143739 , 
2609.0 ,  14.0991934868 ,  7.25312619039 ,  4.85783561094 ,  4.96694404907 ,  4.22124951478 , 
3012.0 ,  393.986016991 ,  468.82285297 ,  322.044770782 ,  87.3485984851 ,  7.17975074548 , 
3012.0 ,  12.343285024 ,  8.16916372801 ,  5.92444183184 ,  5.01869981815 ,  3.44051359289 , 
3012.0 ,  2.85701067376 ,  3.45602852443 ,  9.13638877787 ,  6.22644290721 ,  3.70719758232 , 
3012.0 ,  17.1511191948 ,  15.61718711 ,  6.73895704981 ,  2.02158714149 ,  1.37319694191 , 
3012.0 ,  9.19851549804 ,  9.05837555758 ,  4.34808322618 ,  15.2139230203 ,  2.96742610312 , 
3113.0 ,  348.664934838 ,  554.683486664 ,  493.656007483 ,  115.438627807 ,  8.02825123284 , 
3113.0 ,  11.90444481 ,  9.86292220334 ,  6.75188615021 ,  5.67472090361 ,  3.76277852835 , 
3113.0 ,  3.21577230641 ,  2.76069702861 ,  9.40100189329 ,  6.72260416897 ,  3.8863297555 , 
3113.0 ,  16.0552271523 ,  18.10491615 ,  9.16243415589 ,  2.23816306025 ,  1.49552729509 , 
3113.0 ,  11.0770151477 ,  11.8548485986 ,  4.56350626889 ,  22.0941186809 ,  3.09319794317 , 
