time, theta, alpha, low_beta, high_beta, gamma,
2.0 ,  464.324886981 ,  146.550908101 ,  167.274416648 ,  128.43345614 ,  151.181692484 , 
3.0 ,  225.196166884 ,  128.152876226 ,  183.108486027 ,  91.0976564241 ,  74.1082020719 , 
5.0 ,  127.993786737 ,  52.0842689494 ,  38.0137791832 ,  26.4405353792 ,  22.5931992335 , 
7.0 ,  281.119771723 ,  369.999419575 ,  240.328953284 ,  137.516186848 ,  99.0860057371 , 
8.0 ,  183.520246409 ,  121.444724983 ,  193.611265727 ,  121.447390345 ,  130.914162855 , 
113.0 ,  370.204003609 ,  128.793067659 ,  144.38739799 ,  130.92548302 ,  138.588629189 , 
115.0 ,  148.237717044 ,  81.7288392452 ,  163.311864242 ,  98.0003474597 ,  70.0867223596 , 
117.0 ,  28.1829611849 ,  22.3341288722 ,  22.1545455695 ,  16.7520085184 ,  19.463067136 , 
119.0 ,  150.606976389 ,  254.01948752 ,  221.842069589 ,  141.531895493 ,  90.4401898174 , 
122.0 ,  97.3732324539 ,  107.057444841 ,  167.154196183 ,  102.398385534 ,  125.14362664 , 
229.0 ,  342.422090903 ,  131.155243817 ,  139.950221824 ,  141.12199557 ,  130.287395479 , 
231.0 ,  147.696539787 ,  62.3510249957 ,  157.790546518 ,  112.702422291 ,  70.3673159031 , 
233.0 ,  22.4872245558 ,  20.0506323687 ,  19.0242781849 ,  14.0523458542 ,  19.7053811625 , 
235.0 ,  153.362931496 ,  193.201816857 ,  218.114326163 ,  152.542479347 ,  91.9575696823 , 
237.0 ,  91.3738504762 ,  119.539649318 ,  155.672690536 ,  97.8918927455 ,  126.23779937 , 
440.0 ,  297.624826436 ,  137.721935567 ,  136.839470264 ,  149.70113533 ,  126.954068279 , 
442.0 ,  139.876962098 ,  48.5833879822 ,  153.813804827 ,  125.562164498 ,  73.286376426 , 
444.0 ,  16.9254656113 ,  18.6268637345 ,  15.7957651866 ,  12.1434832538 ,  19.9250160715 , 
446.0 ,  160.245875294 ,  153.869321997 ,  212.207686117 ,  161.69775073 ,  99.9418488338 , 
448.0 ,  79.7716237849 ,  136.937007531 ,  140.831183123 ,  98.0487384441 ,  129.336141129 , 
551.0 ,  252.618971668 ,  145.124620228 ,  128.320248755 ,  153.496540683 ,  130.125893336 , 
552.0 ,  128.654505126 ,  41.90525334 ,  148.432733846 ,  133.523475867 ,  79.1111816818 , 
554.0 ,  12.9924922325 ,  18.3847702588 ,  12.9629678918 ,  11.3030757473 ,  20.0959695323 , 
556.0 ,  169.152539911 ,  130.633556773 ,  205.3217637 ,  169.335766529 ,  112.238320163 , 
558.0 ,  66.5305171889 ,  158.219577755 ,  127.050039274 ,  102.266720685 ,  134.041690805 , 
661.0 ,  217.774021338 ,  155.074128015 ,  114.207258754 ,  151.611790288 ,  137.727652795 , 
663.0 ,  116.466944106 ,  43.3899406709 ,  141.058925673 ,  136.160428292 ,  87.3420403401 , 
664.0 ,  11.2526736703 ,  18.7988678593 ,  10.7276681262 ,  11.2105324196 ,  20.3830929832 , 
666.0 ,  175.29237992 ,  120.117447213 ,  197.752194855 ,  174.132068951 ,  125.844071286 , 
668.0 ,  55.6945948016 ,  179.068776995 ,  113.990364677 ,  106.553085277 ,  139.802042704 , 
774.0 ,  195.235278361 ,  159.241445023 ,  92.2347595034 ,  145.234826859 ,  145.328283083 , 
776.0 ,  104.423222165 ,  49.0746775821 ,  131.586708128 ,  133.15745989 ,  96.56706644 , 
778.0 ,  10.7131536096 ,  19.0172494606 ,  9.05888095571 ,  11.3778721795 ,  20.8436749681 , 
779.0 ,  175.400010783 ,  114.540541618 ,  185.492613707 ,  175.775250297 ,  137.301210696 , 
781.0 ,  50.2576471069 ,  192.387567187 ,  101.362773117 ,  109.40736485 ,  145.357856739 , 
884.0 ,  178.435877835 ,  158.985540016 ,  72.5938695853 ,  138.012465899 ,  149.029656308 , 
885.0 ,  93.8805239629 ,  60.3064989958 ,  124.433883707 ,  127.867370098 ,  104.967978299 , 
887.0 ,  10.7358578465 ,  18.3081526984 ,  8.12712890973 ,  11.540265619 ,  21.3248375248 , 
889.0 ,  171.387246968 ,  111.033752462 ,  165.183251393 ,  175.536785322 ,  144.868080043 , 
891.0 ,  52.8821962 ,  198.003621829 ,  87.5197818127 ,  109.81785024 ,  150.155039884 , 
993.0 ,  162.20664887 ,  154.445047716 ,  57.8589029019 ,  135.772913824 ,  145.796243388 , 
995.0 ,  86.7019401792 ,  78.1373303464 ,  119.042746754 ,  122.408111753 ,  110.343063078 , 
997.0 ,  10.4221778767 ,  16.4462260493 ,  8.04560835859 ,  11.3905918958 ,  21.4597354859 , 
998.0 ,  165.216538051 ,  106.804269704 ,  142.02511222 ,  175.623728992 ,  147.718851408 , 
1000.0 ,  63.1153017559 ,  193.328707196 ,  75.6314610143 ,  107.010468766 ,  153.848385086 , 
1103.0 ,  143.258832937 ,  147.139392334 ,  51.425668541 ,  141.899633511 ,  137.930994434 , 
1104.0 ,  85.8998586625 ,  101.837806187 ,  114.879557673 ,  120.524957425 ,  111.852812717 , 
1106.0 ,  9.75903874016 ,  13.7792073685 ,  8.85868620754 ,  10.9781513868 ,  20.8624299696 , 
1108.0 ,  155.076538568 ,  102.126197823 ,  118.283349522 ,  177.116028691 ,  146.921012256 , 
1110.0 ,  78.2652768921 ,  180.010731773 ,  70.8231964013 ,  101.380187925 ,  155.843996761 , 
1212.0 ,  127.608024918 ,  140.995048868 ,  54.2750756572 ,  156.245201995 ,  129.490881153 , 
1215.0 ,  95.6834712037 ,  127.165410356 ,  114.083007129 ,  121.734199152 ,  109.658313794 , 
1217.0 ,  8.93732150375 ,  11.0087769099 ,  10.5801546795 ,  10.4475933715 ,  19.3386438013 , 
1219.0 ,  146.314686783 ,  93.8335836475 ,  102.356202679 ,  181.61932467 ,  144.151229558 , 
1221.0 ,  94.7073704913 ,  165.258283218 ,  77.5867402156 ,  94.2949719694 ,  155.196084575 , 
1323.0 ,  114.531305628 ,  136.386430721 ,  66.7155641823 ,  174.8715956 ,  124.73240721 , 
1325.0 ,  113.455189688 ,  147.324306092 ,  115.233415634 ,  123.537408163 ,  105.578786069 , 
1327.0 ,  7.97498067033 ,  8.60247363579 ,  13.1361202169 ,  10.0211066462 ,  17.0527626129 , 
1329.0 ,  138.666514479 ,  86.0376274902 ,  101.236985682 ,  188.107298312 ,  140.308226885 , 
1331.0 ,  111.230726074 ,  154.468895772 ,  96.6031376563 ,  86.7239462539 ,  150.602485541 , 
1535.0 ,  106.944057157 ,  135.839884405 ,  82.2934730058 ,  193.37546098 ,  125.192742798 , 
1536.0 ,  134.085477758 ,  157.934556706 ,  115.64050265 ,  123.47366788 ,  101.248223412 , 
1538.0 ,  7.26136735442 ,  7.05200267644 ,  15.8947716507 ,  9.63202837013 ,  14.629812533 , 
1540.0 ,  131.037465067 ,  80.929639996 ,  109.744943227 ,  195.123729293 ,  136.181948364 , 
1542.0 ,  122.15049886 ,  149.665594735 ,  124.090674744 ,  78.8345404346 ,  141.41417527 , 
1644.0 ,  104.658307836 ,  141.644955713 ,  104.084945928 ,  204.760346328 ,  129.550615047 , 
1646.0 ,  151.456933238 ,  159.263214187 ,  119.091655948 ,  118.992240746 ,  97.8062216064 , 
1648.0 ,  6.90223029715 ,  6.29302813936 ,  18.2434695936 ,  9.16703759176 ,  12.7011150608 , 
1650.0 ,  126.491599377 ,  83.8387116431 ,  124.088767882 ,  201.468747939 ,  132.026268192 , 
1652.0 ,  131.180327295 ,  150.420781795 ,  152.896878139 ,  73.1670316146 ,  128.404964719 , 
1754.0 ,  101.644091466 ,  151.726695265 ,  129.054321676 ,  208.069878638 ,  134.901625725 , 
1756.0 ,  156.78451043 ,  152.150805133 ,  124.46523923 ,  111.305527239 ,  96.0500846288 , 
1757.0 ,  6.77927233622 ,  5.95752682781 ,  19.7470392539 ,  8.63884163324 ,  11.7854785853 , 
1759.0 ,  125.152047051 ,  100.040885396 ,  136.378514642 ,  204.495086464 ,  127.919476068 , 
1761.0 ,  134.902850348 ,  154.356331265 ,  176.99453847 ,  71.0202760554 ,  114.281753458 , 
1864.0 ,  99.1878539693 ,  169.87844217 ,  157.289939404 ,  200.844936651 ,  137.299784253 , 
1865.0 ,  150.114397421 ,  147.430249844 ,  136.231589725 ,  101.422158999 ,  95.5534406972 , 
1867.0 ,  6.80694603453 ,  5.84587492083 ,  19.9256104544 ,  7.80400718312 ,  12.0382408317 , 
1869.0 ,  124.675039438 ,  131.784640087 ,  141.359122807 ,  200.255479444 ,  123.637897172 , 
1871.0 ,  140.577471491 ,  157.475711812 ,  192.400203296 ,  73.479139125 ,  103.217254989 , 
1973.0 ,  96.6705992922 ,  196.051992269 ,  183.500992662 ,  186.901023942 ,  135.347352452 , 
1975.0 ,  134.625669339 ,  150.067120142 ,  152.017315326 ,  92.5425304265 ,  95.1554920203 , 
1976.0 ,  7.68867392548 ,  5.87234796046 ,  18.9049247683 ,  6.87608352066 ,  13.1655549697 , 
1978.0 ,  123.935093368 ,  174.581748492 ,  137.386486594 ,  189.442312184 ,  119.410587629 , 
1981.0 ,  149.179826526 ,  156.226835265 ,  196.238455413 ,  81.4771934841 ,  97.7452580666 , 
2183.0 ,  96.5045512326 ,  228.561286593 ,  200.672650833 ,  172.038320393 ,  130.024977785 , 
2185.0 ,  117.417106315 ,  163.175281151 ,  170.030808692 ,  86.8521193915 ,  93.9816786876 , 
2187.0 ,  10.2317561497 ,  6.14383345114 ,  17.0129013009 ,  6.220778335 ,  14.6782692142 , 
2188.0 ,  121.010722518 ,  217.650013059 ,  126.970593394 ,  174.53883001 ,  116.157472063 , 
2190.0 ,  157.87646176 ,  151.020502608 ,  187.981754188 ,  94.3844520928 ,  99.6176288917 , 
2292.0 ,  102.846631501 ,  265.461735601 ,  207.769117478 ,  160.455539776 ,  122.142723677 , 
2294.0 ,  107.56122492 ,  185.582991035 ,  187.221409495 ,  84.9407310417 ,  91.1182186846 , 
2296.0 ,  14.7581428412 ,  6.71555949588 ,  14.995064496 ,  5.99167838933 ,  15.9566816499 , 
2298.0 ,  115.286258402 ,  249.561625876 ,  116.446368751 ,  157.383673664 ,  114.153924234 , 
2299.0 ,  164.80736235 ,  141.227278521 ,  170.082795805 ,  107.904602547 ,  107.971485029 , 
2403.0 ,  116.273047743 ,  297.524371072 ,  206.28095111 ,  155.307061749 ,  114.064847213 , 
2405.0 ,  108.649314476 ,  208.032589574 ,  204.291058795 ,  86.2157055781 ,  86.0862467501 , 
2407.0 ,  20.7537875999 ,  7.65494749818 ,  13.3128226222 ,  6.12831767078 ,  16.7844763264 , 
2408.0 ,  108.721622261 ,  261.055482862 ,  111.015752904 ,  140.835952014 ,  113.522920724 , 
2410.0 ,  165.922968789 ,  127.207599964 ,  144.521356711 ,  118.148227189 ,  119.833578799 , 
2513.0 ,  134.483327966 ,  315.753150541 ,  202.702969846 ,  154.579433669 ,  106.3249989 , 
2515.0 ,  118.136305191 ,  221.450878514 ,  220.310152221 ,  87.7984778644 ,  79.4088238957 , 
2516.0 ,  26.8447449249 ,  8.66768275628 ,  12.3934353184 ,  6.36035089185 ,  17.0535402243 , 
2518.0 ,  103.896653337 ,  254.154462993 ,  112.929868032 ,  127.660667418 ,  113.179229928 , 
2520.0 ,  157.914422318 ,  110.24137722 ,  116.186807863 ,  121.298043438 ,  130.748466682 , 
2623.0 ,  153.096603596 ,  316.122002007 ,  198.522465589 ,  157.991827398 ,  101.477766581 , 
2627.0 ,  132.427504363 ,  223.387926849 ,  235.258081185 ,  91.3327586992 ,  73.0754039172 , 
2629.0 ,  31.2764471593 ,  9.43113800196 ,  12.2447369384 ,  6.57043360524 ,  16.8701979844 , 
2631.0 ,  103.234804575 ,  232.852416732 ,  120.971447528 ,  118.309069844 ,  112.91307726 , 
2633.0 ,  144.901684682 ,  93.2193755391 ,  91.8991761719 ,  121.544917388 ,  137.122846813 , 
2837.0 ,  166.823245214 ,  267.807320883 ,  196.315479173 ,  153.253268892 ,  101.687902977 , 
2839.0 ,  152.178632712 ,  199.632457115 ,  260.507474788 ,  97.637776191 ,  69.8795222177 , 
2841.0 ,  30.8680820957 ,  9.78598832967 ,  13.5220953121 ,  6.67260295375 ,  15.4551701434 , 
2842.0 ,  113.793016279 ,  176.672330307 ,  143.532886292 ,  108.487180242 ,  113.197838495 , 
2844.0 ,  112.254249585 ,  67.6838570791 ,  78.3281307948 ,  128.299072371 ,  133.718221654 , 
2946.0 ,  166.823245214 ,  267.807320883 ,  196.315479173 ,  153.253268892 ,  101.687902977 , 
2947.0 ,  152.178632712 ,  199.632457115 ,  260.507474788 ,  97.637776191 ,  69.8795222177 , 
2949.0 ,  30.8680820957 ,  9.78598832967 ,  13.5220953121 ,  6.67260295375 ,  15.4551701434 , 
2951.0 ,  113.793016279 ,  176.672330307 ,  143.532886292 ,  108.487180242 ,  113.197838495 , 
2953.0 ,  112.254249585 ,  67.6838570791 ,  78.3281307948 ,  128.299072371 ,  133.718221654 , 
3055.0 ,  156.874716335 ,  231.436985325 ,  191.9140396 ,  141.241934074 ,  107.177904934 , 
3056.0 ,  149.957983704 ,  178.777992202 ,  265.83023069 ,  102.87885695 ,  74.2042933762 , 
3058.0 ,  26.296139624 ,  9.23616169604 ,  14.4286668003 ,  6.78014121113 ,  14.4573489329 , 
3060.0 ,  120.938781284 ,  151.239025072 ,  155.817557496 ,  105.678316551 ,  115.863428606 , 
3061.0 ,  102.489949505 ,  63.1788875117 ,  90.8668655057 ,  140.864816085 ,  125.601749044 , 
3163.0 ,  141.737682667 ,  200.455383562 ,  182.49217945 ,  125.982172495 ,  113.005292361 , 
3165.0 ,  144.337220909 ,  159.121786031 ,  261.696160149 ,  109.315606409 ,  80.021825605 , 
3169.0 ,  20.5565109181 ,  8.20445672728 ,  15.1424220738 ,  7.04923664052 ,  13.4967289581 , 
3171.0 ,  124.7080799 ,  126.503928994 ,  165.995417832 ,  105.005889805 ,  121.490443655 , 
3173.0 ,  97.2402630919 ,  65.2843217863 ,  109.458960116 ,  157.441200077 ,  116.268304907 , 
3276.0 ,  126.672164097 ,  176.270829761 ,  166.015693806 ,  110.252751504 ,  116.597143694 , 
3278.0 ,  137.405681603 ,  141.465245989 ,  244.236067011 ,  116.18290402 ,  84.6799968959 , 
3280.0 ,  14.9827227044 ,  7.23040403433 ,  15.6283769364 ,  7.43328948623 ,  12.7477188734 , 
3281.0 ,  123.538841518 ,  104.171452724 ,  173.911000227 ,  107.787733424 ,  130.04607306 , 
3283.0 ,  97.8072563424 ,  71.5299683829 ,  123.63007216 ,  173.548103654 ,  108.7812404 , 
3386.0 ,  119.533326675 ,  162.767516796 ,  150.638346307 ,  97.0548107277 ,  116.401978567 , 
3387.0 ,  137.098355939 ,  129.452046406 ,  216.603831024 ,  121.703033421 ,  86.3178942375 , 
3389.0 ,  11.0026558466 ,  6.23527393692 ,  15.4679773387 ,  7.68697036813 ,  12.4215618162 , 
3391.0 ,  117.910637072 ,  83.0014160118 ,  173.951520188 ,  114.891950998 ,  141.523102978 , 
3392.0 ,  103.376970776 ,  79.9652504373 ,  126.853890655 ,  185.515565167 ,  106.506887505 , 
3494.0 ,  120.758600593 ,  152.360497842 ,  144.675889908 ,  88.3675615698 ,  114.057469898 , 
3496.0 ,  144.16276799 ,  121.511418015 ,  185.331326681 ,  124.747428944 ,  84.8603115721 , 
3498.0 ,  9.27706014522 ,  5.61648100129 ,  14.8478064386 ,  7.73793650304 ,  12.5379114747 , 
3500.0 ,  109.101013593 ,  69.9620523844 ,  168.555660515 ,  123.136935948 ,  153.111134912 , 
3501.0 ,  107.397092421 ,  87.7550208742 ,  116.478811849 ,  193.112672091 ,  108.422059976 , 
3702.0 ,  124.779046803 ,  140.422416086 ,  151.146557177 ,  81.8910730638 ,  112.673856737 , 
3704.0 ,  155.791017301 ,  116.75633419 ,  157.223176052 ,  123.905729741 ,  83.902551189 , 
3706.0 ,  9.44971735005 ,  5.35703657359 ,  13.7325885926 ,  7.4458280684 ,  12.9466508789 , 
3708.0 ,  99.1296914283 ,  66.4754126633 ,  156.349978598 ,  131.137630952 ,  163.859707084 , 
3710.0 ,  109.780871937 ,  95.5475128765 ,  98.651703318 ,  198.381685849 ,  116.39350667 , 
3812.0 ,  125.406229347 ,  125.905619805 ,  170.434332964 ,  76.808491753 ,  115.587548988 , 
3814.0 ,  167.083492145 ,  114.568546996 ,  139.75619822 ,  118.665591001 ,  86.4304755277 , 
3816.0 ,  10.8079577454 ,  5.5442562829 ,  12.5079301029 ,  7.00206316672 ,  13.3081921631 , 
3818.0 ,  89.0375295171 ,  70.6467437397 ,  141.121993777 ,  136.458559077 ,  173.81254237 , 
3819.0 ,  109.39318805 ,  101.519774208 ,  81.281988252 ,  200.630533435 ,  129.030294022 , 
3922.0 ,  118.790269091 ,  110.979683175 ,  193.845248879 ,  72.4437979603 ,  122.895039605 , 
3923.0 ,  173.905124895 ,  112.994146373 ,  134.038840665 ,  109.798135331 ,  93.9221464647 , 
3925.0 ,  12.8919942152 ,  5.97052153287 ,  11.3855256302 ,  6.94956762002 ,  13.3245178672 , 
3927.0 ,  79.5662160268 ,  76.8440571631 ,  127.145048957 ,  136.505964361 ,  182.412378711 , 
3929.0 ,  106.912711259 ,  109.70995799 ,  71.7720107651 ,  198.029966511 ,  144.434244501 , 
4031.0 ,  109.224237928 ,  100.742055453 ,  215.281028396 ,  68.6359685388 ,  133.002821646 , 
4032.0 ,  174.395875185 ,  111.97804454 ,  138.732608172 ,  99.7423731834 ,  106.728736223 , 
4035.0 ,  14.9281039357 ,  6.14609816859 ,  10.9819315044 ,  7.39549252357 ,  13.0164284594 , 
4037.0 ,  72.4584723657 ,  81.5775741223 ,  121.03283163 ,  132.150359699 ,  189.815057756 , 
4038.0 ,  102.948059454 ,  117.763162684 ,  72.6897326171 ,  190.414183809 ,  162.626338215 , 
4140.0 ,  104.24795797 ,  99.1587644038 ,  223.386335319 ,  66.1798546221 ,  141.937854946 , 
4142.0 ,  168.272096001 ,  111.315212717 ,  146.857968334 ,  90.2570443253 ,  121.919663131 , 
4144.0 ,  16.6226565053 ,  6.09731953172 ,  11.3240091062 ,  9.00717337458 ,  12.6241817721 , 
4145.0 ,  70.8658165612 ,  86.0970217832 ,  123.472017234 ,  124.396116008 ,  194.499640314 , 
4147.0 ,  99.2516083692 ,  126.424697365 ,  82.5890678617 ,  175.968436293 ,  181.506787372 , 
4250.0 ,  110.997189137 ,  107.18808513 ,  215.434013292 ,  64.9294640654 ,  146.382751662 , 
4252.0 ,  158.279544087 ,  111.883195654 ,  148.68421172 ,  82.1868903557 ,  135.297917572 , 
4253.0 ,  17.4761417497 ,  5.79849499835 ,  12.2913682598 ,  12.327182508 ,  13.1091475276 , 
4255.0 ,  77.9988152095 ,  93.4187872274 ,  129.484041701 ,  117.707847597 ,  196.938086801 , 
4257.0 ,  98.7611750865 ,  132.244751808 ,  95.6284892065 ,  155.362189021 ,  198.759041965 , 
4360.0 ,  134.699831633 ,  124.189818952 ,  193.921237389 ,  65.422147882 ,  145.417158998 , 
4362.0 ,  150.470603588 ,  116.812310842 ,  144.112209561 ,  76.4227544711 ,  143.479806168 , 
4368.0 ,  17.9014976317 ,  5.28557758198 ,  13.4871776213 ,  17.6622522777 ,  15.2383173967 , 
4369.0 ,  94.1518591863 ,  106.262420907 ,  133.980069566 ,  118.159435242 ,  195.975503039 , 
4371.0 ,  108.22954166 ,  137.961472954 ,  108.180481821 ,  135.194995622 ,  212.132294375 , 
4474.0 ,  173.214932297 ,  143.009001275 ,  162.772456015 ,  66.5317816769 ,  140.54756201 , 
