time, theta, alpha, low_beta, high_beta, gamma,
6.0 ,  713.195042825 ,  665.970157039 ,  160.30386253 ,  217.488936727 ,  141.770186024 , 
14.0 ,  442.896131893 ,  378.224283531 ,  431.961600641 ,  385.007181189 ,  109.088100751 , 
18.0 ,  325.879882441 ,  244.168311248 ,  203.58124212 ,  183.169380685 ,  125.051372962 , 
25.0 ,  550.705256996 ,  398.26472825 ,  175.24678298 ,  280.949970058 ,  123.750778699 , 
32.0 ,  477.181721259 ,  690.298552775 ,  363.148463317 ,  375.991934421 ,  126.26642233 , 
140.0 ,  499.58763089 ,  568.485907852 ,  144.423744595 ,  227.725487027 ,  128.235008984 , 
147.0 ,  276.435180971 ,  302.95811691 ,  482.186312791 ,  371.580207932 ,  93.3219643338 , 
153.0 ,  184.745333264 ,  270.604786081 ,  205.511259992 ,  172.122609594 ,  121.270080088 , 
158.0 ,  400.648951736 ,  422.516876581 ,  184.06907183 ,  261.894249472 ,  119.47524122 , 
163.0 ,  291.921497808 ,  679.803876438 ,  437.197801308 ,  354.097509336 ,  120.278496386 , 
270.0 ,  460.711606483 ,  536.652047377 ,  155.819324694 ,  248.990995894 ,  121.868686956 , 
278.0 ,  292.398855006 ,  284.374725237 ,  545.178244485 ,  357.92145616 ,  83.5795954214 , 
284.0 ,  185.043272502 ,  321.06751656 ,  212.085633349 ,  174.251152967 ,  120.650875929 , 
289.0 ,  449.45796904 ,  474.468500814 ,  200.074225283 ,  253.005767616 ,  121.489815692 , 
295.0 ,  258.562509644 ,  672.589666147 ,  530.101961353 ,  341.141240702 ,  119.333448522 , 
403.0 ,  439.338426225 ,  506.365035051 ,  163.114007982 ,  267.98294471 ,  119.413652971 , 
411.0 ,  318.616464181 ,  272.987116766 ,  583.515783326 ,  337.985516374 ,  76.4924135233 , 
418.0 ,  202.416199601 ,  359.038255755 ,  207.049927024 ,  177.566215701 ,  121.219768008 , 
425.0 ,  518.944320499 ,  534.724631103 ,  203.750190858 ,  244.623208788 ,  126.789679983 , 
430.0 ,  261.741929507 ,  514.160656211 ,  736.119566328 ,  307.798459337 ,  122.667950733 , 
540.0 ,  431.137050258 ,  473.343253144 ,  164.592686292 ,  280.681704676 ,  120.712055656 , 
548.0 ,  344.836370917 ,  271.852761955 ,  594.950039857 ,  313.283449865 ,  71.5919301174 , 
556.0 ,  234.869382313 ,  377.007834754 ,  205.053286976 ,  180.933968002 ,  120.317378683 , 
563.0 ,  599.724871343 ,  593.313445344 ,  206.848649995 ,  238.419561249 ,  133.656359699 , 
568.0 ,  261.741929507 ,  514.160656211 ,  736.119566328 ,  307.798459337 ,  122.667950733 , 
680.0 ,  422.468590272 ,  433.292936071 ,  164.574574004 ,  286.821437922 ,  123.282840955 , 
685.0 ,  348.719392956 ,  272.692871432 ,  564.157553652 ,  267.688904714 ,  66.8023943516 , 
690.0 ,  284.767997273 ,  327.343392934 ,  262.348549844 ,  195.947750955 ,  110.596177009 , 
695.0 ,  634.707900708 ,  615.33982918 ,  266.444720682 ,  237.400428812 ,  148.837678914 , 
700.0 ,  280.764622446 ,  284.689768794 ,  827.164009334 ,  266.884784192 ,  137.005064239 , 
807.0 ,  413.77785788 ,  389.548958331 ,  170.405498892 ,  288.614669789 ,  123.62650072 , 
814.0 ,  348.719392956 ,  272.692871432 ,  564.157553652 ,  267.688904714 ,  66.8023943516 , 
821.0 ,  284.767997273 ,  327.343392934 ,  262.348549844 ,  195.947750955 ,  110.596177009 , 
826.0 ,  582.686682326 ,  574.385952727 ,  340.598988268 ,  248.611308106 ,  155.678515333 , 
832.0 ,  270.896959527 ,  199.899435128 ,  795.800785786 ,  253.34357617 ,  148.593408768 , 
941.0 ,  389.919206511 ,  288.033820347 ,  246.23800823 ,  290.251250989 ,  111.397608961 , 
948.0 ,  308.649326664 ,  247.040006286 ,  474.028086208 ,  249.633960542 ,  64.3819573092 , 
953.0 ,  293.698512227 ,  227.584913561 ,  382.386111187 ,  235.50181089 ,  90.1198035734 , 
957.0 ,  504.907699652 ,  509.584146988 ,  434.463266543 ,  265.625012053 ,  161.737508132 , 
963.0 ,  252.345985278 ,  147.695445767 ,  722.937640552 ,  254.418353368 ,  160.52877493 , 
1068.0 ,  389.382364748 ,  254.255029351 ,  318.141110183 ,  293.704936437 ,  100.965373606 , 
1076.0 ,  314.561911346 ,  237.331821453 ,  430.824935649 ,  257.054878801 ,  64.2592988313 , 
1085.0 ,  305.089194755 ,  182.803012131 ,  434.485710866 ,  258.078295275 ,  81.4448508553 , 
1091.0 ,  446.790662169 ,  434.702312844 ,  528.905885932 ,  284.336432608 ,  166.070430042 , 
1095.0 ,  240.701525202 ,  134.305875708 ,  632.028818013 ,  264.59076551 ,  168.153990237 , 
1200.0 ,  413.830215554 ,  242.264849404 ,  415.938285844 ,  297.341326381 ,  92.9080020063 , 
1207.0 ,  347.193982519 ,  257.805627296 ,  402.710824678 ,  273.350026569 ,  66.0166987309 , 
1213.0 ,  332.90191696 ,  160.485411597 ,  460.619252764 ,  274.52065928 ,  77.1814492741 , 
1217.0 ,  426.4660893 ,  371.926782338 ,  592.406492744 ,  298.327532584 ,  168.239346355 , 
1223.0 ,  252.729836105 ,  140.685439636 ,  543.093074627 ,  288.075295685 ,  170.754527068 , 
1331.0 ,  495.274801308 ,  268.053241567 ,  516.470719753 ,  300.226360835 ,  91.5353597766 , 
