time, theta, alpha, low_beta, high_beta, gamma,
5.0 ,  83571.1236914 ,  9712.51686928 ,  3195.14886583 ,  3642.01035982 ,  1062.35099113 , 
9.0 ,  3040.42594752 ,  2419.83719539 ,  773.199263556 ,  793.714079847 ,  640.282320137 , 
13.0 ,  3970.77764097 ,  1411.69742855 ,  772.98631936 ,  628.7091313 ,  417.732536531 , 
17.0 ,  21750.9371409 ,  5701.82840211 ,  1971.29644824 ,  2995.13990576 ,  1727.455928 , 
22.0 ,  104759.532663 ,  16834.9680998 ,  5030.46338545 ,  3943.74004873 ,  1073.65450423 , 
128.0 ,  76387.8629439 ,  7952.256872 ,  2329.21131126 ,  3099.74236082 ,  898.60187289 , 
131.0 ,  2938.22122297 ,  1685.23969894 ,  537.867614518 ,  644.022579932 ,  504.348736101 , 
134.0 ,  2660.21236929 ,  1531.6434472 ,  769.861189814 ,  516.485660334 ,  324.385197002 , 
141.0 ,  23016.9364777 ,  5223.15765133 ,  1792.82400346 ,  2800.21077832 ,  1410.49403662 , 
144.0 ,  83309.7340203 ,  11963.6392876 ,  3604.8056115 ,  3059.99333565 ,  833.434464961 , 
248.0 ,  64615.1434634 ,  5645.65275702 ,  1714.85852871 ,  2352.51456116 ,  644.951392877 , 
252.0 ,  2856.80959775 ,  1175.28448631 ,  395.880678705 ,  496.314880368 ,  360.875183337 , 
255.0 ,  1822.46864204 ,  1619.87121537 ,  817.970740752 ,  448.753803926 ,  237.773024466 , 
258.0 ,  25125.876627 ,  5188.13976463 ,  1703.12318722 ,  2430.33376133 ,  1037.18786764 , 
262.0 ,  60881.5210235 ,  7529.85848202 ,  2832.93062611 ,  2139.9132178 ,  570.080759231 , 
368.0 ,  49174.3759445 ,  3514.11152866 ,  1406.03196839 ,  1636.65126734 ,  396.203254293 , 
373.0 ,  2632.99060991 ,  831.174048883 ,  323.602298033 ,  366.431932697 ,  235.181498652 , 
377.0 ,  1548.30811812 ,  1717.31026212 ,  897.359709545 ,  412.937319316 ,  171.600597124 , 
381.0 ,  25203.2331242 ,  4994.5638433 ,  1649.05524616 ,  1964.51975981 ,  692.491256925 , 
383.0 ,  39544.534522 ,  4347.97810425 ,  2482.65388287 ,  1384.48547879 ,  347.766095914 , 
489.0 ,  36346.691933 ,  2031.94826744 ,  1180.77955279 ,  1066.25749962 ,  205.943275021 , 
493.0 ,  2418.71720493 ,  631.468691876 ,  296.212267576 ,  261.900441457 ,  144.192378457 , 
495.0 ,  1550.56878988 ,  1692.35123124 ,  919.618427936 ,  388.749996689 ,  128.7750735 , 
498.0 ,  24338.4755339 ,  4646.30150636 ,  1543.79465823 ,  1493.71467925 ,  433.88552772 , 
503.0 ,  24563.5726389 ,  2598.48217132 ,  2340.84322508 ,  838.932175957 ,  194.912869979 , 
608.0 ,  24950.4587234 ,  1035.88782366 ,  1006.2620062 ,  727.506664147 ,  97.6812096518 , 
614.0 ,  2063.31235105 ,  450.90252146 ,  277.269873976 ,  187.806813911 ,  90.3095961906 , 
617.0 ,  1793.1428526 ,  1624.15369429 ,  864.971290979 ,  367.414347936 ,  103.694531084 , 
620.0 ,  21220.9713678 ,  3825.62254057 ,  1399.33918213 ,  1070.70693692 ,  269.416863133 , 
623.0 ,  15768.4563465 ,  1578.95515027 ,  2229.76605636 ,  590.274026936 ,  122.898764171 , 
729.0 ,  19584.179299 ,  645.941424946 ,  841.598937215 ,  515.38036361 ,  43.2243434696 , 
733.0 ,  1801.318209 ,  343.73791196 ,  258.523774779 ,  134.950118525 ,  58.9421492751 , 
736.0 ,  2048.15786851 ,  1467.80318257 ,  737.576194354 ,  343.521576571 ,  90.022346438 , 
739.0 ,  18504.3346025 ,  3050.47564176 ,  1183.25310684 ,  710.381951976 ,  171.850758865 , 
742.0 ,  15364.336365 ,  1702.96079775 ,  2136.70497121 ,  479.447783833 ,  89.5552815624 , 
848.0 ,  12907.941817 ,  517.102533518 ,  677.17773042 ,  396.991470411 ,  30.3266728082 , 
853.0 ,  1510.78523179 ,  278.615579873 ,  241.225954508 ,  107.409221774 ,  43.7580471339 , 
856.0 ,  2318.90531309 ,  1430.01704719 ,  591.266668929 ,  316.356986266 ,  82.7809507887 , 
861.0 ,  15666.940451 ,  2435.08250281 ,  1017.34737774 ,  477.022634766 ,  119.376378814 , 
864.0 ,  16181.6515055 ,  2259.41434498 ,  1865.1096512 ,  495.990145004 ,  83.988568802 , 
1070.0 ,  9458.97117651 ,  575.954646768 ,  545.92122028 ,  265.791481029 ,  13.6799974959 , 
1074.0 ,  1293.64125326 ,  289.276196668 ,  224.093967324 ,  93.0858665124 ,  35.1061000812 , 
1077.0 ,  2527.83478278 ,  1560.21212639 ,  459.596679192 ,  286.089821847 ,  78.0717333065 , 
1080.0 ,  13371.067487 ,  2275.77123441 ,  901.830708836 ,  337.028839611 ,  91.3378328648 , 
1083.0 ,  19718.5544971 ,  3442.34951169 ,  1615.97058244 ,  520.408938925 ,  78.1260343542 , 
1189.0 ,  5666.55461677 ,  811.806751438 ,  509.884857465 ,  209.492615875 ,  13.471888939 , 
1193.0 ,  1123.68594636 ,  366.92848214 ,  220.422437871 ,  84.6207696491 ,  29.7027547502 , 
1196.0 ,  2567.84986451 ,  1785.04004913 ,  380.019847925 ,  251.391186443 ,  72.012060079 , 
1198.0 ,  11819.0133031 ,  2655.6502995 ,  881.055700807 ,  265.096289136 ,  73.8804420035 , 
1202.0 ,  21614.5719961 ,  5121.008725 ,  1403.03502569 ,  546.560186871 ,  76.8053170746 , 
1306.0 ,  4628.20891411 ,  1262.42964919 ,  587.991810605 ,  195.499593026 ,  13.8609939285 , 
1310.0 ,  994.944008267 ,  493.987475881 ,  222.099108052 ,  77.6328932073 ,  25.0935827622 , 
1313.0 ,  2432.40144023 ,  2009.68697023 ,  343.909331822 ,  212.230761189 ,  62.8177347287 , 
1318.0 ,  10401.3520783 ,  3300.75297212 ,  919.636323307 ,  232.085320442 ,  62.3211220149 , 
1322.0 ,  22537.2042735 ,  7116.01660308 ,  1352.41631695 ,  545.838845519 ,  73.0567625422 , 
1427.0 ,  3374.66546322 ,  1720.28478989 ,  713.098812184 ,  216.236248436 ,  16.3502688778 , 
1431.0 ,  838.08713337 ,  598.195824304 ,  230.321920499 ,  68.9851622899 ,  19.9530052028 , 
1434.0 ,  2098.7123475 ,  2095.71476985 ,  332.206492709 ,  170.000934008 ,  50.9142583043 , 
1437.0 ,  8754.65728242 ,  3908.15040946 ,  973.435685243 ,  218.058628101 ,  53.385292977 , 
1440.0 ,  20482.2749553 ,  8736.04652814 ,  1358.12558336 ,  508.268709168 ,  67.060792274 , 
1548.0 ,  3857.61394693 ,  2179.47033056 ,  850.687339676 ,  247.522515221 ,  19.5585201297 , 
1554.0 ,  681.868809321 ,  657.882559184 ,  219.221577226 ,  53.4910756691 ,  13.9688756513 , 
1558.0 ,  1671.06680125 ,  2016.6534869 ,  316.324505359 ,  125.480876774 ,  36.1379047781 , 
1562.0 ,  6873.23852411 ,  4260.72756807 ,  955.263560153 ,  183.549807965 ,  43.6240854003 , 
1565.0 ,  17577.8128435 ,  9679.71414355 ,  1396.68204898 ,  439.043549583 ,  59.6574570936 , 
1769.0 ,  3314.090196 ,  2449.39389077 ,  854.397285003 ,  247.190902072 ,  23.7782643611 , 
1774.0 ,  366.313539147 ,  554.417582593 ,  162.729208783 ,  26.2057039401 ,  5.94739283365 , 
