time, theta, alpha, low_beta, high_beta, gamma,
20.0 ,  306.089895601 ,  923.467964588 ,  35.5036978785 ,  39.7552160961 ,  59.7483736009 , 
27.0 ,  126.004677176 ,  51.9145306876 ,  28.9410904431 ,  16.9223954589 ,  12.3687082077 , 
35.0 ,  136.335226869 ,  106.925470682 ,  41.2630008048 ,  32.9867486603 ,  37.9623872529 , 
40.0 ,  499.632170309 ,  619.565274593 ,  28.7015410132 ,  20.4310168388 ,  24.2826100638 , 
45.0 ,  285.496535653 ,  804.441630154 ,  56.5196430244 ,  100.484319719 ,  97.7442332375 , 
151.0 ,  286.220063385 ,  784.726201624 ,  17.1706304572 ,  38.936473153 ,  53.6194482628 , 
156.0 ,  9.58989781511 ,  11.3736260473 ,  12.8395627895 ,  5.81816068437 ,  7.66121353042 , 
159.0 ,  32.9701137336 ,  70.3654790434 ,  25.7728889693 ,  27.2360221348 ,  31.0318211004 , 
163.0 ,  444.735380581 ,  532.964241126 ,  20.8768761631 ,  10.0808127656 ,  18.1728884481 , 
169.0 ,  241.866369552 ,  733.901538911 ,  30.1228909247 ,  83.842715004 ,  85.5791086076 , 
274.0 ,  298.221802944 ,  704.821152931 ,  16.5964437709 ,  43.435363302 ,  48.6532277497 , 
279.0 ,  8.94364525525 ,  11.7928484391 ,  14.6316791409 ,  5.81862459982 ,  7.40839157801 , 
282.0 ,  30.1406551873 ,  59.5223844016 ,  29.1757649671 ,  29.0651346753 ,  26.7131539384 , 
284.0 ,  457.92332953 ,  479.520580665 ,  26.5670125533 ,  8.69730245242 ,  15.0262122508 , 
288.0 ,  247.886678288 ,  673.455887235 ,  28.6781187512 ,  79.0707199621 ,  72.2783639352 , 
392.0 ,  289.162352618 ,  647.502707835 ,  15.3510648949 ,  44.6397590365 ,  42.3027949084 , 
397.0 ,  8.29434888452 ,  11.6661482498 ,  16.2460991342 ,  5.56399552707 ,  7.17420684311 , 
401.0 ,  27.5145431467 ,  49.305222916 ,  32.0934370195 ,  29.5750579839 ,  22.0545074059 , 
406.0 ,  435.814621305 ,  443.914159557 ,  29.7229387657 ,  7.5422225616 ,  12.2995744407 , 
409.0 ,  234.658905979 ,  594.051248398 ,  30.6949815304 ,  72.464188451 ,  57.5165995473 , 
513.0 ,  269.094862376 ,  601.481194017 ,  14.5924262143 ,  44.3191759482 ,  36.7986140081 , 
517.0 ,  7.59629575058 ,  11.146819076 ,  17.7541415004 ,  5.20571430954 ,  6.9323044996 , 
522.0 ,  26.5454256622 ,  40.7412646381 ,  34.0611321735 ,  28.7869933916 ,  17.8361750484 , 
525.0 ,  389.043146129 ,  420.055754622 ,  32.3189860543 ,  6.98919559438 ,  10.5960783462 , 
528.0 ,  211.099468443 ,  506.909997365 ,  37.7927387812 ,  67.7906154155 ,  44.4483558954 , 
632.0 ,  257.780085408 ,  569.762886964 ,  15.9450102057 ,  43.1370667043 ,  34.3490755251 , 
637.0 ,  6.85960928184 ,  10.6255997554 ,  19.4069038363 ,  4.8789796371 ,  6.67796267469 , 
640.0 ,  26.7097523909 ,  34.8069842594 ,  34.0014212233 ,  26.7222310614 ,  14.6615252799 , 
643.0 ,  346.573314028 ,  408.476118775 ,  33.5611716487 ,  6.87660015425 ,  11.0113684846 , 
646.0 ,  189.955465558 ,  427.930563063 ,  53.8620116875 ,  71.0045543914 ,  36.9956878237 , 
749.0 ,  282.142489859 ,  557.907596746 ,  18.0627965419 ,  44.5983004877 ,  38.2877039904 , 
754.0 ,  6.23039823439 ,  10.2132032818 ,  21.2498632451 ,  4.81855863913 ,  6.51860687634 , 
757.0 ,  28.3161086272 ,  32.1802609083 ,  32.5038466653 ,  25.272853237 ,  13.2596911581 , 
759.0 ,  335.477361817 ,  411.759531255 ,  33.2454977336 ,  7.34976860523 ,  14.3039616266 , 
763.0 ,  189.935379951 ,  369.350118268 ,  76.881715125 ,  89.3610605617 ,  38.0652632272 , 
866.0 ,  362.241773338 ,  585.291902641 ,  21.254742115 ,  50.5907398321 ,  50.1850655702 , 
871.0 ,  5.67311065455 ,  9.93754617758 ,  22.8666329852 ,  5.17617227499 ,  6.55618807898 , 
874.0 ,  31.4161566864 ,  33.2172299893 ,  29.8457013715 ,  26.4242263322 ,  14.1109232488 , 
876.0 ,  375.047986526 ,  437.414225371 ,  32.0402683957 ,  8.15322520974 ,  20.4073462375 , 
880.0 ,  222.394396188 ,  345.329998428 ,  100.167450522 ,  126.085225247 ,  49.3894918828 , 
984.0 ,  504.777893428 ,  673.826747872 ,  25.2845317175 ,  61.5455477543 ,  68.1828206569 , 
988.0 ,  4.95621874747 ,  10.1256102417 ,  23.7598238182 ,  6.1011754751 ,  6.93787539638 , 
992.0 ,  36.459506529 ,  38.857517499 ,  27.557423826 ,  30.8638051294 ,  17.2525571137 , 
994.0 ,  470.867498541 ,  490.66974255 ,  31.0197972219 ,  9.71678621949 ,  28.4236129226 , 
998.0 ,  293.089694458 ,  374.429714733 ,  117.987419622 ,  177.415558073 ,  69.5641376815 , 
1101.0 ,  708.674851875 ,  850.704693535 ,  29.8752741543 ,  75.8276448754 ,  86.915312784 , 
1105.0 ,  4.73495327033 ,  10.5158563799 ,  23.2272548593 ,  7.55293379991 ,  7.72712325191 , 
1108.0 ,  44.3555110825 ,  49.6870001946 ,  25.4146806147 ,  38.7863936021 ,  21.5217200794 , 
1111.0 ,  604.830084492 ,  574.168108616 ,  30.2616433866 ,  11.2967335044 ,  36.5809972607 , 
1115.0 ,  395.641807552 ,  473.839563573 ,  124.681732264 ,  232.856626866 ,  92.6937446974 , 
1219.0 ,  708.674851875 ,  850.704693535 ,  29.8752741543 ,  75.8276448754 ,  86.915312784 , 
1225.0 ,  4.73495327033 ,  10.5158563799 ,  23.2272548593 ,  7.55293379991 ,  7.72712325191 , 
1229.0 ,  44.3555110825 ,  49.6870001946 ,  25.4146806147 ,  38.7863936021 ,  21.5217200794 , 
1234.0 ,  714.24061982 ,  656.097778023 ,  31.0947131821 ,  14.0965050491 ,  43.461802261 , 
1237.0 ,  484.539339429 ,  645.472043889 ,  119.083411587 ,  279.685048538 ,  118.250346044 , 
1343.0 ,  884.728960504 ,  1098.0845319 ,  36.4365156367 ,  87.7280517201 ,  104.079886295 , 
1349.0 ,  4.95454911949 ,  11.3657582455 ,  21.2316704335 ,  9.41860680552 ,  8.84743061267 , 
1352.0 ,  54.483786066 ,  66.5724592884 ,  24.4682411644 ,  47.4277346771 ,  25.9911554719 , 
1354.0 ,  714.24061982 ,  656.097778023 ,  31.0947131821 ,  14.0965050491 ,  43.461802261 , 
1359.0 ,  484.539339429 ,  645.472043889 ,  119.083411587 ,  279.685048538 ,  118.250346044 , 
1465.0 ,  1017.38053223 ,  1776.35734935 ,  69.0641862427 ,  110.065487911 ,  156.911343919 , 
1469.0 ,  6.65154266573 ,  13.0631254433 ,  14.7891830427 ,  13.6784980055 ,  11.4779270519 , 
1472.0 ,  77.9471275496 ,  115.931316798 ,  23.3686371101 ,  61.1731364175 ,  41.1928013171 , 
1475.0 ,  750.374273547 ,  790.995739217 ,  45.3204346229 ,  27.3745042277 ,  55.8208413325 , 
1478.0 ,  551.167844817 ,  1197.60912258 ,  121.936038693 ,  367.151684477 ,  222.545756587 , 
1582.0 ,  1017.38053223 ,  1776.35734935 ,  69.0641862427 ,  110.065487911 ,  156.911343919 , 
1586.0 ,  7.63507571803 ,  13.6200331675 ,  12.4282145263 ,  15.7017687464 ,  12.9278647212 , 
1589.0 ,  88.4974854983 ,  150.236715716 ,  23.5486039364 ,  69.8657940218 ,  60.0448887603 , 
1591.0 ,  652.979477632 ,  865.661868586 ,  60.1387625436 ,  37.3977420693 ,  66.9271326608 , 
1596.0 ,  502.63093583 ,  1571.37636907 ,  167.519588288 ,  422.872981426 ,  346.274737124 , 
1699.0 ,  906.55593782 ,  2212.68441175 ,  100.692350905 ,  129.415324379 ,  218.054463908 , 
1704.0 ,  7.63507571803 ,  13.6200331675 ,  12.4282145263 ,  15.7017687464 ,  12.9278647212 , 
1707.0 ,  88.4974854983 ,  150.236715716 ,  23.5486039364 ,  69.8657940218 ,  60.0448887603 , 
1710.0 ,  652.979477632 ,  865.661868586 ,  60.1387625436 ,  37.3977420693 ,  66.9271326608 , 
1712.0 ,  502.63093583 ,  1571.37636907 ,  167.519588288 ,  422.872981426 ,  346.274737124 , 
