time, theta, alpha, low_beta, high_beta, gamma,
2113.0 ,  134.768330029 ,  93.0917005064 ,  130.069644573 ,  22.1703825574 ,  15.8316454524 , 
2113.0 ,  114.860465527 ,  42.5882770923 ,  23.4168559301 ,  14.0138088803 ,  5.98196661667 , 
2113.0 ,  565.455253813 ,  184.462781939 ,  188.954049063 ,  242.43672118 ,  235.436886247 , 
2113.0 ,  103.680225283 ,  45.9542458718 ,  21.2356399526 ,  13.7837643451 ,  9.53508572174 , 
2113.0 ,  116.351936105 ,  52.5125656695 ,  31.6951124365 ,  16.618035172 ,  5.68262663049 , 
2213.0 ,  31.6456901196 ,  52.6785269272 ,  98.3449047528 ,  9.2314293179 ,  12.0433173703 , 
2213.0 ,  5.59206780609 ,  2.58166166065 ,  4.50731910352 ,  4.36320794197 ,  1.92768059229 , 
2213.0 ,  482.082548685 ,  153.43183639 ,  180.726111605 ,  255.095424944 ,  266.363760423 , 
2213.0 ,  2.71085163497 ,  10.9067930196 ,  3.89566882783 ,  5.56658926638 ,  5.82651362639 , 
2213.0 ,  14.3162123923 ,  10.8625096202 ,  14.7318644564 ,  8.12396013314 ,  2.08122837823 , 
2313.0 ,  30.3646229765 ,  52.972416877 ,  94.0035661946 ,  8.00187844333 ,  12.3501847365 , 
2313.0 ,  5.83808880797 ,  2.20366234613 ,  4.35430608641 ,  4.30532323664 ,  1.93025994705 , 
2313.0 ,  516.631301749 ,  153.499029097 ,  187.60601531 ,  270.133874641 ,  284.07237549 , 
2313.0 ,  2.17568110202 ,  10.7104497049 ,  3.86945813686 ,  5.79534831937 ,  5.53412446406 , 
2313.0 ,  15.4021506099 ,  10.2883082936 ,  15.8652862676 ,  8.38082091936 ,  2.1886953524 , 
2514.0 ,  31.2773437763 ,  50.7496837161 ,  89.9033840578 ,  8.43113989519 ,  12.9355985049 , 
2514.0 ,  6.1269357205 ,  2.16417570111 ,  4.44579437569 ,  4.17703678503 ,  2.05989831575 , 
2514.0 ,  573.433549074 ,  147.904049632 ,  196.603096228 ,  276.421181475 ,  278.874485831 , 
2514.0 ,  1.7368581926 ,  9.83758070788 ,  3.70773345828 ,  5.86836471818 ,  5.30003535889 , 
2514.0 ,  16.4713162625 ,  10.4719617579 ,  17.1144371415 ,  9.09367714088 ,  2.33778942161 , 
2615.0 ,  32.8149257507 ,  46.0520427524 ,  87.5408288277 ,  10.1647595187 ,  13.625740239 , 
2615.0 ,  6.60806225473 ,  2.30944957243 ,  4.90895973648 ,  3.97540653056 ,  2.32060868357 , 
2615.0 ,  634.282957054 ,  131.664143824 ,  201.683978168 ,  274.216773731 ,  251.925835206 , 
2615.0 ,  1.48763726675 ,  8.65537361529 ,  3.57673552564 ,  5.74870650678 ,  5.14910018301 , 
2615.0 ,  16.8829311342 ,  10.9422975297 ,  17.683494633 ,  10.0334829419 ,  2.51161791465 , 
2715.0 ,  35.1738810779 ,  41.166029705 ,  87.6534670563 ,  12.2010212793 ,  14.1383344037 , 
2715.0 ,  7.32590446192 ,  2.6581753312 ,  5.7769605561 ,  3.82430427715 ,  2.72273213789 , 
2715.0 ,  681.359071124 ,  107.066282897 ,  205.971944163 ,  265.267124483 ,  211.103406708 , 
2715.0 ,  1.44453564534 ,  7.37928814306 ,  3.60332548416 ,  5.45738265937 ,  5.04534570782 , 
2715.0 ,  16.0728297759 ,  11.2270368729 ,  17.0474767319 ,  10.9071179327 ,  2.65472982606 , 
2815.0 ,  35.622736515 ,  36.3836118048 ,  90.8499855263 ,  13.887827131 ,  14.4174516013 , 
2815.0 ,  8.23201521479 ,  3.04152365823 ,  6.95910935156 ,  3.75937233076 ,  3.22928381959 , 
2815.0 ,  715.423484457 ,  81.3304209519 ,  205.239455438 ,  255.684955782 ,  169.463859838 , 
2815.0 ,  1.62526525767 ,  6.68891068878 ,  3.99138107876 ,  5.03942881389 ,  4.89372358821 , 
2815.0 ,  14.2956967062 ,  11.0048039486 ,  15.1825680843 ,  11.3615287923 ,  2.73043564759 , 
3016.0 ,  34.4955049222 ,  32.012609441 ,  96.0750514649 ,  14.9480712828 ,  14.3897812936 , 
3016.0 ,  9.0860281554 ,  3.39225253823 ,  8.12941868155 ,  3.81528263684 ,  3.75132236009 , 
3016.0 ,  736.250886841 ,  64.3400376457 ,  200.272967048 ,  243.278531701 ,  135.830593445 , 
3016.0 ,  1.97283322287 ,  6.82875166885 ,  4.72563635318 ,  4.57203627862 ,  4.60617213522 , 
3016.0 ,  11.9820897659 ,  10.7101845889 ,  12.4182238293 ,  11.1937227948 ,  2.70761838918 , 
3117.0 ,  30.6791016029 ,  29.2744410356 ,  99.3639784102 ,  14.8188379208 ,  13.9270809464 , 
3117.0 ,  9.67172119913 ,  3.64011468301 ,  9.13927621692 ,  3.91000289523 ,  4.1582207874 , 
3117.0 ,  732.366026969 ,  59.9826684224 ,  186.264862101 ,  225.412272929 ,  115.855526822 , 
3117.0 ,  2.36874557224 ,  7.94906328203 ,  5.53136678604 ,  4.13278635733 ,  4.14757011667 , 
3117.0 ,  9.95982131116 ,  10.4504118178 ,  9.46493475985 ,  10.4447936741 ,  2.57869842376 , 
3217.0 ,  26.6987856347 ,  29.5757943264 ,  97.995142994 ,  14.0467621712 ,  13.1366425963 , 
3217.0 ,  9.7918419401 ,  3.6785238056 ,  9.81325970695 ,  4.01687822117 ,  4.35835107062 , 
3217.0 ,  716.458121662 ,  70.1947649341 ,  164.175787405 ,  206.166370841 ,  108.913829121 , 
3217.0 ,  2.76238303647 ,  9.59740277044 ,  6.15866060535 ,  3.75818017238 ,  3.55202495581 , 
3217.0 ,  8.76680976901 ,  10.677992202 ,  7.05277053817 ,  9.43502255634 ,  2.3829164808 , 
3317.0 ,  22.7980593955 ,  33.4527999088 ,  90.6544626714 ,  12.922129808 ,  12.1559082376 , 
3317.0 ,  9.4405605408 ,  3.51683574875 ,  10.1027164199 ,  4.12241574707 ,  4.32537263162 , 
3317.0 ,  730.266273272 ,  92.9812436155 ,  135.889396045 ,  187.934214565 ,  110.41315995 , 
3317.0 ,  2.94164411648 ,  11.161526662 ,  6.43096922112 ,  3.44937227054 ,  2.90289791814 , 
3317.0 ,  8.80918473941 ,  11.3417211541 ,  5.66463825147 ,  8.72954750586 ,  2.1623340848 , 
3518.0 ,  20.5553657216 ,  40.9073114539 ,  79.0265380242 ,  11.6767842471 ,  11.1046786087 , 
3518.0 ,  8.85496399101 ,  3.16573553633 ,  10.2344230483 ,  4.20680640343 ,  4.10281783482 , 
3518.0 ,  791.458357571 ,  122.725290439 ,  109.420390963 ,  174.724874972 ,  113.964517363 , 
3518.0 ,  3.01204695517 ,  12.2246985757 ,  6.41668311607 ,  3.2007612175 ,  2.3028378503 , 
3518.0 ,  9.93375613121 ,  12.3339381658 ,  5.96944490065 ,  8.93320106564 ,  1.97491046322 , 
3619.0 ,  20.7896473911 ,  50.4448392462 ,  66.400680738 ,  10.8034996559 ,  10.173213513 , 
3619.0 ,  8.28950573331 ,  2.82972842949 ,  10.2142203169 ,  4.31214242489 ,  3.80577852471 , 
3619.0 ,  917.973560984 ,  153.845167616 ,  90.4839137714 ,  171.626887198 ,  117.504743525 , 
3619.0 ,  3.24197031627 ,  12.5456800528 ,  6.15389942733 ,  3.04883929226 ,  1.81949510989 , 
3619.0 ,  11.7663210918 ,  13.2309226083 ,  8.16342138352 ,  10.3829674414 ,  1.84092859977 , 
3719.0 ,  22.514638823 ,  59.3272704624 ,  54.4995056264 ,  10.2476912786 ,  9.37656512432 , 
3719.0 ,  7.84509247823 ,  2.4945698844 ,  10.0474765178 ,  4.42015653833 ,  3.54574141257 , 
3719.0 ,  1079.98767839 ,  183.96903448 ,  81.7135598516 ,  178.736284265 ,  118.17304811 , 
3719.0 ,  3.9292905578 ,  12.1353961335 ,  5.72220508213 ,  3.00852489383 ,  1.49072409971 , 
3719.0 ,  13.8012800104 ,  13.766296917 ,  11.6211185411 ,  12.8283569692 ,  1.78412333632 , 
3820.0 ,  24.8513595439 ,  64.1326292544 ,  44.6981828456 ,  9.96150372856 ,  8.67855309435 , 
3820.0 ,  7.51926621957 ,  2.4167588351 ,  9.63373055707 ,  4.48777028522 ,  3.39301606329 , 
3820.0 ,  1218.10893115 ,  212.801652356 ,  80.9639306072 ,  191.992494554 ,  115.839299755 , 
3820.0 ,  5.20180462597 ,  11.4343486077 ,  5.34109440351 ,  3.07477968515 ,  1.29847581765 , 
3820.0 ,  15.5703329801 ,  13.8329278571 ,  15.8108638145 ,  15.4574155722 ,  1.7740691788 , 
4020.0 ,  26.1039099785 ,  62.3629606256 ,  35.7912572488 ,  9.451549995 ,  7.96126281071 , 
4020.0 ,  7.08246417502 ,  2.44378592333 ,  8.94050628054 ,  4.43051446383 ,  3.30554494746 , 
4020.0 ,  1281.52489062 ,  239.889347721 ,  87.8124263216 ,  206.339064839 ,  110.177374648 , 
4020.0 ,  7.19777022964 ,  10.9113819988 ,  5.11740355095 ,  3.1635882243 ,  1.20635099659 , 
4020.0 ,  16.5413738821 ,  13.4619817385 ,  19.1007931579 ,  17.174667759 ,  1.76961540541 , 
4120.0 ,  26.1305800707 ,  55.1239028378 ,  28.5383003761 ,  8.91519470789 ,  7.23812597237 , 
4120.0 ,  6.67215784396 ,  2.70497042476 ,  7.96645422624 ,  4.24772812612 ,  3.25253360529 , 
4120.0 ,  1243.89588564 ,  266.319546808 ,  104.94361572 ,  219.195642327 ,  103.39507271 , 
4120.0 ,  9.64680919808 ,  10.9000103261 ,  5.00661674408 ,  3.24172474418 ,  1.20486354442 , 
4120.0 ,  16.6648567017 ,  12.8395421777 ,  20.7228804375 ,  17.3156879195 ,  1.74747131152 , 
4221.0 ,  24.1075175268 ,  44.1988682113 ,  22.2058256306 ,  8.36933569054 ,  6.58655496141 , 
4221.0 ,  6.10826471644 ,  3.14374368312 ,  6.91222900031 ,  4.00107887562 ,  3.21339287359 , 
4221.0 ,  1125.13083382 ,  290.811932476 ,  130.391471486 ,  226.024824205 ,  96.8729712433 , 
4221.0 ,  11.8070054964 ,  11.3788835062 ,  5.07105603806 ,  3.26685917993 ,  1.27589570159 , 
4221.0 ,  15.907636964 ,  12.0451692796 ,  20.4790385143 ,  15.9102401103 ,  1.69240173638 , 
4321.0 ,  21.3610701556 ,  34.2119672103 ,  18.0892269922 ,  8.07374264624 ,  6.10080070582 , 
4321.0 ,  5.78905878018 ,  3.82033913643 ,  6.0935471023 ,  3.78590936641 ,  3.18743558824 , 
4321.0 ,  979.068392078 ,  312.551075977 ,  158.746161188 ,  224.283078766 ,  92.5129695794 , 
4321.0 ,  13.3196409072 ,  12.501621365 ,  5.29724503568 ,  3.23188436199 ,  1.39459769026 , 
4321.0 ,  14.8410108909 ,  11.0689169148 ,  18.8469011298 ,  13.7049584395 ,  1.6037117302 , 
4522.0 ,  18.7272550984 ,  27.1622447992 ,  15.9818708395 ,  8.18523003916 ,  5.97252509858 , 
4522.0 ,  5.6784568806 ,  4.6366617091 ,  5.46004989588 ,  3.70055182978 ,  3.19958167388 , 
4522.0 ,  846.537083394 ,  329.707501968 ,  181.226534227 ,  213.166877238 ,  90.9839759467 , 
4522.0 ,  13.5952130434 ,  14.0809414021 ,  5.71601418392 ,  3.15758901789 ,  1.56026450395 , 
4522.0 ,  13.762385425 ,  9.96684128226 ,  17.1733504457 ,  11.5936857662 ,  1.51610635467 , 
4622.0 ,  16.9172316716 ,  24.1982042893 ,  16.4991955938 ,  8.45469681768 ,  6.26459442331 , 
4622.0 ,  5.79987811673 ,  5.47895567523 ,  5.23707268148 ,  3.76339868467 ,  3.21686067713 , 
4622.0 ,  747.620212513 ,  335.014057164 ,  189.820079269 ,  191.777513976 ,  93.7431321339 , 
4622.0 ,  12.7169754055 ,  15.9065027792 ,  6.28374709301 ,  3.10483242045 ,  1.79383412894 , 
4622.0 ,  13.0099832312 ,  8.65880724623 ,  16.1268148432 ,  10.3955973158 ,  1.45706369812 , 
4722.0 ,  16.4162971223 ,  25.2840669941 ,  18.2057161828 ,  8.83686814694 ,  6.99067158736 , 
4722.0 ,  5.95318378632 ,  6.15974994134 ,  5.11425575876 ,  3.9312885274 ,  3.17226223889 , 
4722.0 ,  677.284292764 ,  325.142073437 ,  181.535620961 ,  165.732227254 ,  100.975074151 , 
4722.0 ,  10.9495904334 ,  17.5190423384 ,  6.84412960638 ,  3.11696116491 ,  2.13282634299 , 
4722.0 ,  12.4439957458 ,  7.44884216834 ,  15.738937192 ,  10.1103949911 ,  1.47649559395 , 
4823.0 ,  16.3930965417 ,  28.0451110567 ,  20.6010478362 ,  9.11198163105 ,  7.97632793269 , 
4823.0 ,  5.86460678177 ,  6.40807725304 ,  5.04347323096 ,  4.08538868713 ,  3.00302099094 , 
4823.0 ,  619.583400628 ,  297.223228821 ,  161.679046266 ,  140.683697521 ,  111.914617799 , 
4823.0 ,  8.83973313243 ,  18.3862980177 ,  7.25714249164 ,  3.19512893548 ,  2.597707559 , 
4823.0 ,  12.0151814371 ,  6.4543961359 ,  15.51784439 ,  10.3072778919 ,  1.58707789726 , 
5024.0 ,  16.9446285877 ,  30.3269285005 ,  22.2468649576 ,  9.15827510243 ,  8.95651733164 , 
5024.0 ,  5.41406975439 ,  6.19841273353 ,  4.75713692886 ,  4.08086290997 ,  2.68644767239 , 
5024.0 ,  573.655548622 ,  255.305233741 ,  140.720379533 ,  122.661558661 ,  125.295002642 , 
5024.0 ,  6.83789753063 ,  18.0820841354 ,  7.32439467151 ,  3.3515691338 ,  3.15439883136 , 
5024.0 ,  11.5356725014 ,  5.82756325846 ,  15.0854432101 ,  10.368052604 ,  1.77532678125 , 
5124.0 ,  17.2307634655 ,  30.7934132211 ,  24.3710900169 ,  9.58328253671 ,  9.94587293095 , 
5124.0 ,  4.66331180616 ,  5.64104972833 ,  4.36075143959 ,  3.95441113521 ,  2.34452931305 , 
5124.0 ,  537.649912539 ,  205.275162541 ,  129.69450263 ,  118.690358785 ,  140.670855357 , 
5124.0 ,  4.95743416738 ,  16.4538888017 ,  7.01379992728 ,  3.63445793506 ,  3.69970207771 , 
5124.0 ,  11.0819766795 ,  5.95075801589 ,  14.5776353206 ,  10.1436868313 ,  2.00928108848 , 
5224.0 ,  20.7766110559 ,  29.9399056193 ,  26.4204605514 ,  11.8824343162 ,  10.8645959688 , 
5224.0 ,  100.541657312 ,  36.824943299 ,  5.89295850212 ,  6.12032790671 ,  3.31049166139 , 
5224.0 ,  710.289490693 ,  220.072132978 ,  135.434131088 ,  138.207030233 ,  162.470089034 , 
5224.0 ,  4.38705776039 ,  14.9802138059 ,  6.4055336564 ,  4.07262585567 ,  4.11022323309 , 
5224.0 ,  12.6883052203 ,  7.16219739233 ,  14.3221092145 ,  9.89436330854 ,  2.28936154726 , 
5325.0 ,  32.0398470069 ,  35.2309198432 ,  36.6007836911 ,  18.3295602735 ,  12.4948166043 , 
5325.0 ,  156.914046821 ,  69.9993190844 ,  42.1557811667 ,  7.37104907242 ,  2.90525196191 , 
5325.0 ,  1215.34201669 ,  252.946606076 ,  164.146663079 ,  188.214823135 ,  205.799662753 , 
5325.0 ,  7.11481506811 ,  13.9235473774 ,  5.77051981759 ,  4.7471512654 ,  4.27659617908 , 
5325.0 ,  19.1149601166 ,  11.4268989277 ,  16.5678073171 ,  10.0154735145 ,  2.56536289307 , 
5526.0 ,  74.3009530919 ,  52.7340566107 ,  59.137460257 ,  34.4075864969 ,  16.0167156779 , 
5526.0 ,  635.269738857 ,  232.598708706 ,  114.367037581 ,  17.8041850288 ,  5.47303870808 , 
5526.0 ,  3033.03723108 ,  582.672471483 ,  295.279838483 ,  311.901047651 ,  295.172629643 , 
5526.0 ,  16.4260274795 ,  16.1546627793 ,  5.33159999656 ,  5.77738592033 ,  4.17086782179 , 
5526.0 ,  40.4743862524 ,  22.570935461 ,  22.9570963843 ,  12.25444404 ,  3.00190726717 , 
5627.0 ,  206.583187183 ,  197.83685833 ,  129.664558811 ,  72.1044208319 ,  24.4613379735 , 
5627.0 ,  1519.51477666 ,  606.215894137 ,  372.838563764 ,  52.8435312576 ,  10.2943958672 , 
5627.0 ,  7762.31585015 ,  1571.94780642 ,  571.237377934 ,  587.469368433 ,  454.901461257 , 
5627.0 ,  51.9946943379 ,  33.6986458562 ,  6.99608900764 ,  7.64799498708 ,  4.04371021826 , 
5627.0 ,  121.459100158 ,  75.8223284018 ,  41.9621328772 ,  18.8609036405 ,  4.07375089136 , 
5728.0 ,  642.115667035 ,  389.194475148 ,  298.123775957 ,  143.391612533 ,  39.6180718172 , 
5728.0 ,  5230.60497887 ,  1317.66939454 ,  839.73724985 ,  91.0502651958 ,  38.7340758942 , 
5728.0 ,  15745.4824467 ,  3303.12353037 ,  1275.26632445 ,  1025.86133986 ,  665.72789346 , 
5728.0 ,  195.276767052 ,  79.840653515 ,  24.25545523 ,  10.6091547172 ,  4.61910236301 , 
5728.0 ,  429.204561114 ,  191.607617309 ,  101.630295547 ,  32.0746271598 ,  7.56017926942 , 
5828.0 ,  1556.61819589 ,  872.189471244 ,  638.191310075 ,  241.835660981 ,  67.3431786739 , 
5828.0 ,  11469.6517608 ,  2176.61350508 ,  1590.16022599 ,  310.198592708 ,  76.8804946834 , 
5828.0 ,  27402.4488106 ,  6875.42613651 ,  2628.50719097 ,  1621.12131997 ,  926.609190436 , 
5828.0 ,  477.255075906 ,  172.411622426 ,  73.9823460047 ,  16.6911770254 ,  6.24491347905 , 
5828.0 ,  1051.28557916 ,  416.728824154 ,  236.208063376 ,  59.1104419205 ,  13.6902385704 , 
5928.0 ,  3793.84690464 ,  1835.26443203 ,  1226.87853509 ,  389.342690717 ,  110.841778046 , 
5928.0 ,  27271.0603526 ,  3706.00087752 ,  3033.68376186 ,  800.066687528 ,  207.810353473 , 
5928.0 ,  42130.2592888 ,  12749.2894687 ,  4783.51315836 ,  2303.38864502 ,  1209.2244385 , 
5928.0 ,  1194.4406054 ,  416.514100924 ,  205.916266674 ,  29.7324646124 ,  11.6344143183 , 
5928.0 ,  2592.80216117 ,  949.207293724 ,  529.429100599 ,  108.110083852 ,  30.6627790803 , 
6129.0 ,  7716.78506124 ,  3428.87929677 ,  2048.37433012 ,  583.017396189 ,  175.753423436 , 
6129.0 ,  57184.6764327 ,  5709.95567025 ,  5292.93887992 ,  1767.26332282 ,  458.522769744 , 
6129.0 ,  56625.524247 ,  20459.1115037 ,  7548.05128561 ,  2940.01876154 ,  1474.49043929 , 
6129.0 ,  2544.39124676 ,  884.563933078 ,  467.780924941 ,  54.3548777561 ,  22.4838959226 , 
6129.0 ,  5462.60860017 ,  1919.92355858 ,  1064.89756495 ,  191.123690834 ,  65.1986696077 , 
6230.0 ,  13082.7391748 ,  5569.76006547 ,  3009.81632757 ,  801.123658958 ,  258.049753959 , 
6230.0 ,  101088.067291 ,  8151.73925237 ,  8153.18693165 ,  3205.14373483 ,  829.573136244 , 
6230.0 ,  67525.393076 ,  28470.7826944 ,  10394.53978 ,  3393.47257892 ,  1674.86566772 , 
6230.0 ,  4511.86966319 ,  1588.87896839 ,  856.480337037 ,  91.2000262383 ,  38.8225202927 , 
6230.0 ,  9614.87841708 ,  3324.26722078 ,  1834.94901766 ,  307.139567174 ,  119.238611677 , 
6330.0 ,  18878.9096233 ,  7873.42229413 ,  3877.582385 ,  1009.51863786 ,  345.501960757 , 
6330.0 ,  153119.55547 ,  10407.4888647 ,  11100.7754164 ,  4860.70558908 ,  1252.83298941 , 
6330.0 ,  72364.5648467 ,  34567.5151155 ,  12443.0230425 ,  3523.45193685 ,  1762.18310169 , 
6330.0 ,  6745.83039374 ,  2416.96670457 ,  1301.14607578 ,  134.726975459 ,  57.8995985555 , 
6330.0 ,  14305.7054474 ,  4940.21989625 ,  2698.21718019 ,  439.073521453 ,  184.900145611 , 
