time, theta, alpha, low_beta, high_beta, gamma,
3.0 ,  228.804363091 ,  58.4476742982 ,  26.3462645153 ,  9.35852978419 ,  7.40398401627 , 
4.0 ,  166.516626898 ,  47.8846243501 ,  21.4213214417 ,  10.2160787103 ,  7.29053734256 , 
6.0 ,  148.80890848 ,  43.6147606798 ,  30.1264498022 ,  11.0758222629 ,  4.14633090096 , 
8.0 ,  251.834428368 ,  47.6839457588 ,  19.3067755378 ,  9.27362195579 ,  7.3034342165 , 
10.0 ,  275.228147124 ,  49.1661511764 ,  21.8392071787 ,  9.47686007126 ,  5.20921568894 , 
113.0 ,  167.39462885 ,  37.3978564057 ,  13.0280608523 ,  4.37658304982 ,  4.68843917547 , 
114.0 ,  65.8743791836 ,  14.0198655043 ,  7.12863997245 ,  4.89694719444 ,  3.81556536272 , 
116.0 ,  50.0299371364 ,  11.9411142977 ,  10.1564384358 ,  3.61329779092 ,  1.30727398688 , 
118.0 ,  152.217652147 ,  22.699154648 ,  6.54223544199 ,  4.28337474329 ,  4.38336403891 , 
119.0 ,  211.843179449 ,  23.7343103369 ,  8.91798984758 ,  4.06164830594 ,  2.59262152053 , 
222.0 ,  189.724318959 ,  38.1229333498 ,  12.3152704104 ,  5.61421295376 ,  4.67358487014 , 
223.0 ,  46.1455436716 ,  11.4693542178 ,  6.9907454718 ,  4.90691896036 ,  3.16167798009 , 
225.0 ,  40.6485656536 ,  8.32550501236 ,  6.73217530849 ,  3.44887238831 ,  1.18783693918 , 
227.0 ,  119.176928665 ,  19.3967753453 ,  6.38332862323 ,  4.21315084943 ,  3.96316762395 , 
228.0 ,  222.902864681 ,  19.7760776705 ,  8.57942958396 ,  3.6343036258 ,  2.65100962644 , 
330.0 ,  228.483707237 ,  40.1253881764 ,  11.6431336138 ,  6.7865071489 ,  4.66797927439 , 
332.0 ,  35.8235508686 ,  11.4037811098 ,  7.81517382821 ,  4.49981682316 ,  2.77160512437 , 
333.0 ,  40.311877094 ,  7.99110035623 ,  5.13232369525 ,  3.70910975722 ,  1.15232830178 , 
335.0 ,  102.845913974 ,  17.8797748604 ,  5.89400754605 ,  3.90308828964 ,  3.63312921688 , 
337.0 ,  250.319763884 ,  17.9155922771 ,  8.60427307872 ,  3.20504204454 ,  2.90862682716 , 
440.0 ,  228.483707237 ,  40.1253881764 ,  11.6431336138 ,  6.7865071489 ,  4.66797927439 , 
441.0 ,  35.8235508686 ,  11.4037811098 ,  7.81517382821 ,  4.49981682316 ,  2.77160512437 , 
443.0 ,  32.244130121 ,  7.05188478834 ,  4.91733055381 ,  4.14579339565 ,  1.13433682751 , 
445.0 ,  85.5753710656 ,  15.2355555252 ,  5.70221776879 ,  3.40945078626 ,  3.32596397591 , 
447.0 ,  245.910981707 ,  16.0427600523 ,  9.12548211892 ,  2.68065668794 ,  3.18069798792 , 
550.0 ,  242.695273863 ,  41.7828903392 ,  10.4364149385 ,  7.37311344453 ,  4.67079308225 , 
552.0 ,  31.2536073537 ,  10.7362191561 ,  8.54943870874 ,  3.77923926307 ,  2.60295030318 , 
554.0 ,  32.244130121 ,  7.05188478834 ,  4.91733055381 ,  4.14579339565 ,  1.13433682751 , 
555.0 ,  85.5753710656 ,  15.2355555252 ,  5.70221776879 ,  3.40945078626 ,  3.32596397591 , 
557.0 ,  245.910981707 ,  16.0427600523 ,  9.12548211892 ,  2.68065668794 ,  3.18069798792 , 
659.0 ,  242.870377036 ,  41.4032340251 ,  9.10204205725 ,  7.69027975666 ,  4.71592504779 , 
660.0 ,  32.4063528233 ,  10.4891757666 ,  9.74430906781 ,  3.06761109292 ,  2.67363311906 , 
662.0 ,  32.7334428871 ,  8.06552090969 ,  5.397869464 ,  4.4614492878 ,  1.15366540074 , 
664.0 ,  79.6358357751 ,  14.0264138612 ,  5.90828374646 ,  3.28236271461 ,  3.20980509032 , 
666.0 ,  235.446069654 ,  15.5932631536 ,  10.1707867874 ,  2.47966683066 ,  3.51463886704 , 
769.0 ,  222.483241857 ,  37.9558700558 ,  7.43245392049 ,  7.49774155326 ,  4.68746717224 , 
771.0 ,  35.5326258345 ,  10.1832225228 ,  10.6716996647 ,  2.44383616434 ,  2.86283326094 , 
773.0 ,  28.8139572129 ,  8.99718128984 ,  5.75355491752 ,  4.56059257018 ,  1.15748185336 , 
775.0 ,  74.5753481982 ,  13.1291304616 ,  6.25630375399 ,  3.20728744377 ,  3.13562483334 , 
776.0 ,  208.218169578 ,  15.2798931641 ,  11.3282683685 ,  2.39496708418 ,  3.74044048138 , 
878.0 ,  186.604302805 ,  31.9799855968 ,  5.9150790397 ,  7.04114020139 ,  4.60553141734 , 
881.0 ,  38.547429236 ,  10.2308595446 ,  11.0733841596 ,  2.05777224053 ,  3.08111610873 , 
883.0 ,  27.9976827805 ,  9.91891891814 ,  5.95309871131 ,  4.28893596159 ,  1.12516797142 , 
885.0 ,  71.153018207 ,  12.0572346678 ,  6.48585137419 ,  3.31501245322 ,  3.13321555126 , 
887.0 ,  173.098250415 ,  14.7565107286 ,  12.1671870293 ,  2.43547616239 ,  3.83883987546 , 
989.0 ,  142.219726163 ,  24.6414591926 ,  4.63346150177 ,  6.33930165721 ,  4.39155672246 , 
