time, theta, alpha, low_beta, high_beta, gamma,
0.0 ,  399086.564936 ,  59305.5241171 ,  63731.2016726 ,  19102.7941726 ,  3817.65483318 , 
1.0 ,  389348.272423 ,  38416.228247 ,  39498.9909132 ,  8978.65265743 ,  3114.44035802 , 
2.0 ,  5631.94868677 ,  975.19527938 ,  688.08882059 ,  129.284319732 ,  45.4626476067 , 
5.0 ,  410018.304086 ,  64140.6962266 ,  62878.728666 ,  19400.1880518 ,  3919.26205219 , 
7.0 ,  417010.970882 ,  63918.623187 ,  65985.1797022 ,  19933.6465322 ,  4030.41373531 , 
109.0 ,  402936.008864 ,  78771.502083 ,  79024.5865277 ,  21129.7206477 ,  4433.61086481 , 
110.0 ,  386298.940239 ,  52664.3053905 ,  49842.8035515 ,  10130.2633161 ,  3523.70208696 , 
112.0 ,  5033.98766209 ,  909.633150311 ,  1041.58428008 ,  183.616333703 ,  56.1029860616 , 
113.0 ,  414201.670424 ,  82263.4968663 ,  78983.6995984 ,  21566.5541225 ,  4560.47561972 , 
114.0 ,  421175.655968 ,  82643.0798627 ,  82540.3595407 ,  22079.454157 ,  4692.55481654 , 
215.0 ,  411120.866831 ,  103706.700185 ,  90020.6352768 ,  21580.9970607 ,  4735.04058919 , 
215.0 ,  388474.455655 ,  70506.6439241 ,  57432.8789742 ,  10801.2511543 ,  3754.72881024 , 
216.0 ,  6288.7211309 ,  868.974210816 ,  1388.82417809 ,  194.874014421 ,  70.7111789515 , 
218.0 ,  422614.953534 ,  105100.120116 ,  90401.2024193 ,  22123.0660376 ,  4916.22276334 , 
219.0 ,  429969.461593 ,  105731.448331 ,  94342.7082523 ,  22617.2143078 ,  5063.37701288 , 
420.0 ,  421145.277491 ,  133522.923956 ,  92908.0416889 ,  20093.347874 ,  4700.35140626 , 
421.0 ,  395580.25236 ,  91642.0976402 ,  60496.3021538 ,  10904.5534508 ,  3858.68625673 , 
423.0 ,  11075.8814188 ,  1293.62528624 ,  2101.90527312 ,  281.153573534 ,  105.742255357 , 
425.0 ,  433983.947625 ,  133175.87668 ,  93907.8671206 ,  20756.500897 ,  4973.68499965 , 
426.0 ,  441539.900017 ,  133642.677962 ,  98094.6741705 ,  21222.7649389 ,  5136.3844683 , 
528.0 ,  427630.736512 ,  154085.451834 ,  88423.8186958 ,  17716.6769618 ,  4325.11075604 , 
528.0 ,  404458.862352 ,  107247.136313 ,  59360.4183139 ,  10505.8671675 ,  3773.73511974 , 
530.0 ,  22176.4927038 ,  1948.13645815 ,  3225.80508654 ,  441.460395794 ,  166.361199223 , 
531.0 ,  442726.788582 ,  152661.401332 ,  90085.6553263 ,  18586.9555467 ,  4714.8133545 , 
531.0 ,  449795.57736 ,  152728.609557 ,  94425.3738352 ,  19011.5027016 ,  4884.16687941 , 
633.0 ,  425976.64626 ,  161326.784615 ,  77185.4390351 ,  14469.6165755 ,  3813.70884167 , 
633.0 ,  406271.592913 ,  112782.013869 ,  54556.2737683 ,  9661.93723577 ,  3689.71717881 , 
634.0 ,  40469.1146228 ,  2938.67787488 ,  4801.28362393 ,  688.220731307 ,  258.971977084 , 
635.0 ,  443724.415151 ,  159870.80377 ,  79762.4855043 ,  15588.92189 ,  4322.21344518 , 
636.0 ,  449756.11367 ,  159386.157824 ,  84001.2127583 ,  15941.6089991 ,  4492.81813762 , 
739.0 ,  414346.133573 ,  152414.273689 ,  63739.3939433 ,  11632.6927171 ,  3226.79436047 , 
740.0 ,  397266.710235 ,  109120.917013 ,  48717.6924218 ,  8795.63877402 ,  3664.71696212 , 
741.0 ,  64430.3492606 ,  4164.14596829 ,  6511.21649094 ,  978.714727493 ,  368.525978515 , 
742.0 ,  434316.995499 ,  152010.757494 ,  67227.8727941 ,  13060.6697444 ,  3855.87019897 , 
743.0 ,  438887.437913 ,  151193.411733 ,  71266.7373503 ,  13351.8292385 ,  4008.61740342 , 
944.0 ,  389596.477697 ,  129883.457435 ,  48904.1570845 ,  9019.55223172 ,  2657.41335463 , 
945.0 ,  370640.373968 ,  96551.5721097 ,  43284.8932306 ,  8045.0585825 ,  3694.81637119 , 
946.0 ,  88860.175984 ,  5262.92815293 ,  7949.18885263 ,  1242.32836206 ,  471.453826916 , 
948.0 ,  410351.50234 ,  130746.705353 ,  52989.0234975 ,  10739.286631 ,  3357.91776604 , 
949.0 ,  413337.327854 ,  129916.87667 ,  56532.7608362 ,  10976.1281434 ,  3482.03634965 , 
1050.0 ,  352257.859832 ,  102619.86829 ,  36086.1175475 ,  6961.85248087 ,  2116.01715056 , 
1051.0 ,  328368.977285 ,  81569.8517973 ,  39145.500634 ,  7606.66773869 ,  3719.80419637 , 
1055.0 ,  107103.011577 ,  6055.30386272 ,  8629.95189442 ,  1397.60255916 ,  536.7163776 , 
1058.0 ,  372119.329425 ,  104844.096921 ,  40233.4868338 ,  8874.21392707 ,  2827.17538763 , 
1065.0 ,  373562.500888 ,  104357.89262 ,  43095.6103046 ,  9072.3694912 ,  2911.38217581 , 
1169.0 ,  304233.997776 ,  78549.7500215 ,  25945.7703288 ,  5571.95812947 ,  1685.45019349 , 
1170.0 ,  275390.682808 ,  69949.614733 ,  36146.6002486 ,  7549.18451451 ,  3687.20737649 , 
1171.0 ,  113013.962258 ,  6211.48188968 ,  8274.18081102 ,  1381.77348392 ,  541.146879491 , 
1173.0 ,  321395.563723 ,  81377.3892927 ,  29498.2312458 ,  7490.47728586 ,  2353.22780698 , 
1175.0 ,  321425.41518 ,  81484.2869822 ,  31586.2851856 ,  7662.18844477 ,  2395.73036552 , 
1378.0 ,  205563.125464 ,  57177.4687903 ,  12892.2919884 ,  4036.12404325 ,  1088.72173348 , 
1379.0 ,  174711.519633 ,  64187.6162805 ,  29606.8407743 ,  7410.24622721 ,  3180.67034538 , 
1380.0 ,  84501.9554076 ,  4716.62066886 ,  5083.65103472 ,  911.352424724 ,  377.41753295 , 
1381.0 ,  215187.40276 ,  58948.6076195 ,  14441.5776766 ,  5385.52217358 ,  1529.88913116 , 
1381.0 ,  213405.714512 ,  60329.7270332 ,  15194.045933 ,  5498.09385098 ,  1501.1904363 , 
1483.0 ,  163733.831179 ,  54893.5964395 ,  10398.9717179 ,  3811.28545555 ,  966.301142538 , 
1483.0 ,  137046.235697 ,  62724.0739655 ,  24956.4941368 ,  6864.88582629 ,  2745.067002 , 
1484.0 ,  58948.1833854 ,  3482.85270965 ,  3154.02637943 ,  592.853116246 ,  257.39368148 , 
1486.0 ,  170695.022538 ,  55010.7903158 ,  11181.5866795 ,  4673.26292401 ,  1276.74364317 , 
1486.0 ,  168496.588819 ,  56875.4181772 ,  11645.3448577 ,  4739.53964756 ,  1229.83901737 , 
1588.0 ,  134008.022509 ,  56636.7338109 ,  9859.0153003 ,  3771.49214664 ,  965.330503545 , 
1589.0 ,  110519.459907 ,  60559.2038282 ,  20399.8379358 ,  5910.15904472 ,  2274.57863019 , 
1590.0 ,  34995.5859291 ,  2340.73449925 ,  1626.70657069 ,  326.091669658 ,  152.077491375 , 
1591.0 ,  139730.199405 ,  54764.1107244 ,  10140.3946483 ,  4158.22690629 ,  1164.81871473 , 
1592.0 ,  137613.844154 ,  56911.3901579 ,  10483.8397691 ,  4170.25656973 ,  1115.72350017 , 
1693.0 ,  134008.022509 ,  56636.7338109 ,  9859.0153003 ,  3771.49214664 ,  965.330503545 , 
1694.0 ,  110519.459907 ,  60559.2038282 ,  20399.8379358 ,  5910.15904472 ,  2274.57863019 , 
1695.0 ,  34995.5859291 ,  2340.73449925 ,  1626.70657069 ,  326.091669658 ,  152.077491375 , 
1696.0 ,  139730.199405 ,  54764.1107244 ,  10140.3946483 ,  4158.22690629 ,  1164.81871473 , 
1697.0 ,  137613.844154 ,  56911.3901579 ,  10483.8397691 ,  4170.25656973 ,  1115.72350017 , 
1798.0 ,  116576.084734 ,  57978.9319513 ,  10630.3369575 ,  3782.03303949 ,  1013.46163594 , 
1799.0 ,  91353.2499681 ,  55216.9370255 ,  15974.1168416 ,  4734.41949966 ,  1821.06723206 , 
1799.0 ,  17349.0306463 ,  1481.90418367 ,  695.421876862 ,  153.388551931 ,  80.4417080489 , 
1800.0 ,  121255.471792 ,  54142.622202 ,  10770.7138887 ,  3782.42784239 ,  1117.03574606 , 
1801.0 ,  119572.195152 ,  56365.7111938 ,  11093.8610249 ,  3756.36731653 ,  1080.5546039 , 
1903.0 ,  113712.084108 ,  57817.8877182 ,  11424.1137646 ,  3791.64953095 ,  1100.72530436 , 
1904.0 ,  79458.4170853 ,  48791.5784565 ,  12708.421813 ,  3533.07288738 ,  1458.58839038 , 
1905.0 ,  7255.90975902 ,  962.62037309 ,  290.326506876 ,  73.4832590456 ,  42.7976687792 , 
1906.0 ,  117559.267303 ,  52620.1527503 ,  11718.0264429 ,  3515.65868842 ,  1134.7508159 , 
1907.0 ,  116955.025987 ,  54723.0104407 ,  11995.4543668 ,  3482.15864365 ,  1127.54674405 , 
2009.0 ,  126016.824127 ,  55109.0950744 ,  11823.3264603 ,  3719.46876692 ,  1200.79549214 , 
2010.0 ,  74391.4152376 ,  41473.6853535 ,  10196.164894 ,  2561.21799351 ,  1218.26011403 , 
2011.0 ,  2918.4053566 ,  644.582790157 ,  170.023849239 ,  55.2465853925 ,  31.9084865546 , 
2012.0 ,  127997.531046 ,  49303.2325809 ,  12446.8440937 ,  3257.09914514 ,  1185.07305349 , 
2013.0 ,  128827.939452 ,  51191.809702 ,  12666.4621119 ,  3243.73481781 ,  1217.52066522 , 
2115.0 ,  142958.478223 ,  52604.4990809 ,  12247.1176442 ,  3575.82638025 ,  1350.59649768 , 
2115.0 ,  72903.9897711 ,  36037.8578893 ,  9032.3346932 ,  1873.51767876 ,  1124.31123979 , 
2115.0 ,  931.350466713 ,  540.105780251 ,  150.760120095 ,  60.5663400881 ,  27.2251665555 , 
2116.0 ,  142870.797617 ,  46970.3044142 ,  13161.262363 ,  2965.98023986 ,  1292.58298946 , 
2118.0 ,  145344.16775 ,  48596.833425 ,  13343.2089204 ,  2995.75746689 ,  1371.483084 , 
2320.0 ,  159782.741686 ,  50865.4010481 ,  12206.3478762 ,  3370.2748024 ,  1534.22726286 , 
2321.0 ,  72218.9744225 ,  32937.7903202 ,  8386.83332464 ,  1436.63167783 ,  1145.65199127 , 
2322.0 ,  588.032625856 ,  413.732275921 ,  193.474892436 ,  64.1662194202 ,  27.0858499023 , 
2323.0 ,  156653.373443 ,  46072.3792589 ,  13346.0138906 ,  2668.11324842 ,  1450.24049471 , 
2324.0 ,  160661.06008 ,  47613.6617436 ,  13545.679748 ,  2749.83537477 ,  1576.8127384 , 
2426.0 ,  172690.050708 ,  54524.4368693 ,  11849.1827023 ,  3093.30545781 ,  1718.87631817 , 
2427.0 ,  72770.4294217 ,  32990.3560873 ,  8014.89591791 ,  1138.29315964 ,  1225.05722549 , 
2428.0 ,  691.459922106 ,  382.580036209 ,  231.369886455 ,  71.6396710928 ,  29.2026422629 , 
2429.0 ,  167043.471947 ,  50437.679287 ,  13093.4146188 ,  2357.1881037 ,  1617.50874849 , 
2429.0 ,  172368.844859 ,  52194.1332459 ,  13355.9907354 ,  2483.87569751 ,  1788.04515999 , 
2531.0 ,  176735.139748 ,  63730.5123756 ,  11374.8663539 ,  2784.88077305 ,  1857.23381607 , 
2532.0 ,  71215.8599126 ,  35111.6235169 ,  7642.70338623 ,  991.224621288 ,  1287.64135791 , 
2533.0 ,  716.632247899 ,  319.5641627 ,  245.404711399 ,  64.7244768801 ,  26.2973386285 , 
2534.0 ,  169084.610665 ,  59636.8091502 ,  12572.1682977 ,  2079.44953536 ,  1749.09785049 , 
2535.0 ,  175242.95123 ,  61853.7011777 ,  12916.0438233 ,  2231.15014216 ,  1955.54632655 , 
2637.0 ,  172763.893315 ,  73342.9294686 ,  10831.1171648 ,  2374.45078054 ,  1892.66970811 , 
2638.0 ,  67219.1509743 ,  36494.705856 ,  7260.72069319 ,  856.943218042 ,  1306.12750203 , 
2639.0 ,  744.876778546 ,  284.956337465 ,  235.406958272 ,  54.9127658924 ,  23.3850327906 , 
2640.0 ,  164013.730966 ,  68657.0397428 ,  11866.5495394 ,  1760.16098651 ,  1790.26611493 , 
2641.0 ,  170627.727309 ,  71488.0262777 ,  12258.5535597 ,  1913.90351632 ,  2019.22043425 , 
2743.0 ,  165799.639193 ,  87180.408273 ,  10589.3085107 ,  2092.93825953 ,  1824.37929702 , 
2744.0 ,  63042.2056867 ,  39563.2585842 ,  6956.12069562 ,  853.82051471 ,  1283.90367679 , 
2745.0 ,  731.646374477 ,  257.067454232 ,  200.723506521 ,  41.7753685197 ,  19.1913525669 , 
2746.0 ,  156839.856496 ,  81442.7529626 ,  11455.7178911 ,  1610.61779166 ,  1737.81872064 , 
2746.0 ,  163638.894533 ,  84910.9817968 ,  11796.287298 ,  1746.77071956 ,  1973.64076226 , 
2949.0 ,  152325.590086 ,  92712.1451154 ,  10334.5117269 ,  1852.50581935 ,  1662.63573441 , 
2950.0 ,  56931.8750145 ,  39369.7323156 ,  6611.37098142 ,  906.732561082 ,  1236.42569029 , 
2951.0 ,  669.878786889 ,  241.608103264 ,  153.470081006 ,  30.3771128023 ,  15.3546953848 , 
2952.0 ,  143928.642148 ,  86257.3953695 ,  11031.4169145 ,  1525.78247033 ,  1603.93171791 , 
2953.0 ,  150583.354993 ,  89954.9011473 ,  11245.649281 ,  1638.16531823 ,  1829.04770256 , 
3055.0 ,  137179.447109 ,  91299.088033 ,  10293.6383038 ,  1793.81493827 ,  1494.39512584 , 
3056.0 ,  51293.0530918 ,  37315.466207 ,  6404.93388501 ,  1021.14488485 ,  1221.43416646 , 
3057.0 ,  598.922440228 ,  252.832786017 ,  106.003785636 ,  23.1748374334 ,  12.6282348812 , 
3058.0 ,  129860.933678 ,  84771.4083175 ,  10928.720489 ,  1593.56408013 ,  1466.69801767 , 
3059.0 ,  136269.696119 ,  88373.8385532 ,  10971.8084637 ,  1700.15369904 ,  1666.31259746 , 
3159.0 ,  124568.866643 ,  81537.0291835 ,  10617.757998 ,  1854.82296335 ,  1365.71213409 , 
3160.0 ,  47090.4732092 ,  32699.7185355 ,  6570.15671756 ,  1169.21331149 ,  1269.6343616 , 
3161.0 ,  533.844457694 ,  290.180209028 ,  69.9643395714 ,  21.3694035461 ,  11.1359483166 , 
3162.0 ,  118470.54932 ,  75788.5487329 ,  11285.0382086 ,  1749.53922511 ,  1376.03767568 , 
3164.0 ,  124573.554099 ,  78872.8802564 ,  11205.9477969 ,  1872.47080111 ,  1545.26116764 , 
3265.0 ,  115538.596774 ,  65470.8439751 ,  10865.1494739 ,  1944.49069909 ,  1329.63653602 , 
3266.0 ,  44802.2652226 ,  26767.6105557 ,  6722.59971483 ,  1280.2102119 ,  1389.07538358 , 
