time, theta, alpha, low_beta, high_beta, gamma,
0.0 ,  10845.4879133 ,  2112.89781325 ,  642.018525748 ,  194.911483671 ,  18.5870535472 , 
2.0 ,  260.842090141 ,  219.318138136 ,  266.44880619 ,  54.1876521263 ,  17.1819962852 , 
3.0 ,  11419.6552644 ,  8141.70213128 ,  801.12989522 ,  557.653505827 ,  284.918335325 , 
4.0 ,  11023.0759663 ,  2214.9777894 ,  610.902138491 ,  194.899410512 ,  20.4277556398 , 
5.0 ,  8338.14614939 ,  1408.13045161 ,  457.840684405 ,  123.693955742 ,  12.9086746185 , 
106.0 ,  14198.8121186 ,  2782.14817124 ,  829.885943701 ,  244.963935254 ,  16.4753276109 , 
106.0 ,  204.762095391 ,  195.512605586 ,  330.009541154 ,  57.4204817499 ,  17.9691063964 , 
108.0 ,  14514.9554634 ,  11699.3418054 ,  1117.60324547 ,  909.797962472 ,  475.776289655 , 
109.0 ,  14516.7473517 ,  2875.95335111 ,  752.027976908 ,  239.282720085 ,  17.4409906395 , 
109.0 ,  10718.2139007 ,  1817.62238781 ,  568.943653919 ,  147.220320582 ,  9.83816227611 , 
311.0 ,  16552.7832752 ,  3333.10857145 ,  968.804146493 ,  291.787992679 ,  17.5041018009 , 
312.0 ,  245.042287706 ,  206.300940634 ,  374.800173604 ,  68.2307454505 ,  22.4635684796 , 
313.0 ,  16847.0755854 ,  14957.1586738 ,  1471.60635069 ,  1299.53871257 ,  699.068957926 , 
313.0 ,  17062.3454516 ,  3397.71053918 ,  846.419623869 ,  280.375028078 ,  17.7198098598 , 
315.0 ,  12407.5016659 ,  2132.03259887 ,  643.202213771 ,  173.989089497 ,  10.1373540773 , 
416.0 ,  17044.6348856 ,  3500.73070982 ,  995.730648119 ,  303.782441824 ,  16.9903085964 , 
416.0 ,  287.582335619 ,  199.535667771 ,  374.651269139 ,  71.7042729733 ,  25.2508936332 , 
417.0 ,  17660.2418292 ,  16797.4078548 ,  1854.87584992 ,  1706.20263323 ,  948.4626551 , 
418.0 ,  17799.6063316 ,  3502.71897858 ,  844.940761624 ,  288.217949324 ,  16.5187714204 , 
418.0 ,  12637.9581598 ,  2188.19251898 ,  645.344593857 ,  180.763392465 ,  9.60106515322 , 
520.0 ,  15193.5464117 ,  3244.22307574 ,  915.477949306 ,  276.003153147 ,  15.263429783 , 
521.0 ,  312.525358761 ,  172.076383539 ,  326.727366583 ,  66.3523222766 ,  25.4936171474 , 
522.0 ,  16645.4045825 ,  16682.7878526 ,  2228.82063513 ,  2084.81382539 ,  1215.89915772 , 
522.0 ,  16091.8767794 ,  3179.32843525 ,  764.403858976 ,  259.232538317 ,  14.424197978 , 
523.0 ,  11186.2151626 ,  1969.18759523 ,  574.400134475 ,  164.387662086 ,  8.39134693232 , 
624.0 ,  11978.9650948 ,  2600.86285712 ,  733.09279107 ,  219.071567319 ,  12.335333189 , 
624.0 ,  307.478298725 ,  133.128826312 ,  249.192333919 ,  54.177228952 ,  23.2055854674 , 
626.0 ,  13788.1747137 ,  14510.403015 ,  2629.25365068 ,  2417.43810355 ,  1494.70541509 , 
627.0 ,  13008.1614517 ,  2475.75090197 ,  604.170990433 ,  204.449366726 ,  11.5401025605 , 
628.0 ,  8705.21750829 ,  1530.00515439 ,  450.376134474 ,  131.444028059 ,  6.73172675943 , 
729.0 ,  7984.22390389 ,  1811.42626954 ,  516.863064409 ,  149.087629762 ,  8.96794114413 , 
730.0 ,  267.540800312 ,  91.8230885001 ,  164.018453397 ,  39.2331138711 ,  19.2026214542 , 
732.0 ,  10229.0093331 ,  11194.1461045 ,  2869.13433825 ,  2630.85174017 ,  1743.02827445 , 
733.0 ,  8871.36352073 ,  1661.19543947 ,  422.755341109 ,  138.30955972 ,  8.36657989936 , 
733.0 ,  5753.00789653 ,  1020.88252289 ,  307.174285492 ,  90.8886539792 ,  5.0055106544 , 
834.0 ,  4602.49247308 ,  1063.79505374 ,  312.637299576 ,  86.2925794817 ,  6.46315431219 , 
835.0 ,  204.960780867 ,  57.1399319627 ,  92.9352855396 ,  25.6597766381 ,  14.6834187221 , 
836.0 ,  7308.83636148 ,  7722.59815594 ,  3053.93071761 ,  2714.09022111 ,  1936.00488364 , 
837.0 ,  5354.43089965 ,  917.865463984 ,  256.982109278 ,  79.856869122 ,  6.23587754795 , 
838.0 ,  3253.80592546 ,  572.44477956 ,  180.817215711 ,  54.1220758376 ,  3.71448548431 , 
939.0 ,  4602.49247308 ,  1063.79505374 ,  312.637299576 ,  86.2925794817 ,  6.46315431219 , 
940.0 ,  204.960780867 ,  57.1399319627 ,  92.9352855396 ,  25.6597766381 ,  14.6834187221 , 
941.0 ,  7308.83636148 ,  7722.59815594 ,  3053.93071761 ,  2714.09022111 ,  1936.00488364 , 
942.0 ,  5354.43089965 ,  917.865463984 ,  256.982109278 ,  79.856869122 ,  6.23587754795 , 
942.0 ,  3253.80592546 ,  572.44477956 ,  180.817215711 ,  54.1220758376 ,  3.71448548431 , 
1044.0 ,  2239.99858024 ,  522.924836656 ,  165.399081928 ,  42.1066553787 ,  4.53600445135 , 
1045.0 ,  135.988211969 ,  34.5380443384 ,  46.6694537815 ,  16.0320224993 ,  10.7565816591 , 
1046.0 ,  5774.82385461 ,  5088.67800229 ,  3135.53220441 ,  2641.386208 ,  2045.77396675 , 
1046.0 ,  2745.77666715 ,  408.910650425 ,  136.767544276 ,  39.4469786075 ,  4.74511451843 , 
1047.0 ,  1561.08289258 ,  261.930151199 ,  94.5126237423 ,  27.7126652068 ,  2.76021482242 , 
1149.0 ,  987.973316498 ,  223.046675169 ,  80.5414394822 ,  18.7569226769 ,  3.530509297 , 
1150.0 ,  79.0589137057 ,  21.6348543778 ,  24.0281214854 ,  10.6807140567 ,  7.97699057024 , 
1151.0 ,  6979.47560663 ,  3750.74675294 ,  3212.41465174 ,  2438.98578722 ,  2055.86429387 , 
1152.0 ,  1277.82716278 ,  152.616203102 ,  67.9269185198 ,  18.5855269833 ,  4.10112039299 , 
1152.0 ,  678.076655106 ,  104.981882811 ,  47.1904967445 ,  13.2742070456 ,  2.18992021882 , 
1254.0 ,  463.239097289 ,  106.131264482 ,  37.2685171336 ,  9.77066692966 ,  3.19259001071 , 
1255.0 ,  42.1206014187 ,  14.5265924748 ,  16.2069389958 ,  8.87261838241 ,  6.38261875975 , 
1255.0 ,  10212.7353544 ,  3480.37164095 ,  3252.87590997 ,  2121.59363985 ,  1962.56710172 , 
1256.0 ,  614.824817098 ,  76.2191794535 ,  31.0620248577 ,  10.9009596452 ,  3.91926576161 , 
