time, theta, alpha, low_beta, high_beta, gamma,
0.0 ,  22608.9517867 ,  15135.8882763 ,  8349.0263214 ,  800.21982607 ,  444.180218593 , 
1.0 ,  20339.071708 ,  15925.5429299 ,  7441.3286799 ,  1096.60992874 ,  753.67099075 , 
2.0 ,  1032.36764685 ,  472.05056022 ,  284.20773373 ,  176.327151052 ,  74.0286036274 , 
2.0 ,  19000.727247 ,  15000.3038247 ,  8381.35459462 ,  1034.05926265 ,  687.124065822 , 
4.0 ,  23031.5747077 ,  14286.3556069 ,  7437.28263512 ,  911.576363458 ,  495.334361156 , 
104.0 ,  14644.6886326 ,  9109.40415991 ,  5392.73487453 ,  605.903131284 ,  332.537340061 , 
105.0 ,  12871.2363687 ,  9514.85300011 ,  4816.15370984 ,  724.452192746 ,  478.579309339 , 
106.0 ,  830.786711053 ,  259.200706297 ,  168.878583291 ,  106.948545174 ,  42.272116427 , 
107.0 ,  12090.4339446 ,  8917.19716431 ,  5300.17223375 ,  719.742790868 ,  496.999254014 , 
107.0 ,  15162.2579029 ,  8621.82265562 ,  4645.96619196 ,  699.786273119 ,  373.31028064 , 
209.0 ,  14644.6886326 ,  9109.40415991 ,  5392.73487453 ,  605.903131284 ,  332.537340061 , 
209.0 ,  12871.2363687 ,  9514.85300011 ,  4816.15370984 ,  724.452192746 ,  478.579309339 , 
210.0 ,  830.786711053 ,  259.200706297 ,  168.878583291 ,  106.948545174 ,  42.272116427 , 
211.0 ,  12090.4339446 ,  8917.19716431 ,  5300.17223375 ,  719.742790868 ,  496.999254014 , 
212.0 ,  10496.3786429 ,  4588.00976335 ,  2617.11677191 ,  554.336406799 ,  283.061919265 , 
313.0 ,  9683.96974385 ,  4827.51817285 ,  3085.45792532 ,  481.714823443 ,  257.359324877 , 
314.0 ,  8401.89278806 ,  4935.65455557 ,  2700.28630907 ,  485.796129661 ,  299.680058011 , 
314.0 ,  666.236233562 ,  160.245217323 ,  108.156929796 ,  67.7934679919 ,  26.8812149911 , 
316.0 ,  8159.04216988 ,  4573.52131613 ,  2875.99526365 ,  491.561323007 ,  345.166077554 , 
317.0 ,  10496.3786429 ,  4588.00976335 ,  2617.11677191 ,  554.336406799 ,  283.061919265 , 
418.0 ,  5542.43589673 ,  2288.30543453 ,  1582.96734425 ,  414.635193715 ,  217.622388409 , 
419.0 ,  4824.49373583 ,  2227.88838635 ,  1233.81918466 ,  347.142121231 ,  206.503921174 , 
421.0 ,  562.887437549 ,  124.865353532 ,  70.2273083766 ,  50.2338894879 ,  22.1860916978 , 
422.0 ,  4750.4873219 ,  2004.43709031 ,  1272.3735803 ,  352.282237371 ,  241.74569709 , 
423.0 ,  6739.98829687 ,  2238.93118996 ,  1300.59736252 ,  480.006361167 ,  233.293131198 , 
523.0 ,  3835.11398092 ,  1040.6136417 ,  984.422875098 ,  396.71645737 ,  223.958210019 , 
524.0 ,  3271.4425547 ,  879.189399251 ,  635.905545675 ,  293.041768808 ,  181.109020183 , 
525.0 ,  470.885171836 ,  110.347471435 ,  57.7533125843 ,  47.0036926721 ,  24.2442498134 , 
526.0 ,  3415.4141417 ,  863.755601918 ,  679.973971101 ,  293.416898073 ,  202.723728267 , 
526.0 ,  5600.95669851 ,  1194.94248926 ,  945.717951868 ,  442.889793356 ,  243.013576435 , 
