time, theta, alpha, low_beta, high_beta, gamma,
5.0 ,  2303.85251513 ,  324.492907322 ,  119.279429677 ,  30.5340567405 ,  8.56669099629 , 
10.0 ,  175.229798273 ,  59.7066371434 ,  35.8542831537 ,  10.9358960859 ,  6.84136026325 , 
13.0 ,  265.119618315 ,  55.1834956888 ,  32.6587356298 ,  22.0519643388 ,  5.80605592685 , 
16.0 ,  2339.68585386 ,  289.874133517 ,  146.712053183 ,  38.67481723 ,  17.9814781612 , 
18.0 ,  4674.31021438 ,  550.348921549 ,  209.731720415 ,  54.5992083245 ,  11.7542588405 , 
125.0 ,  1385.30406656 ,  178.264886061 ,  57.0209076148 ,  19.6723784938 ,  5.90121276142 , 
129.0 ,  63.9777623008 ,  16.6929632307 ,  11.6469222893 ,  3.54572392645 ,  3.36436514004 , 
133.0 ,  120.04434768 ,  40.8931957642 ,  16.0127432572 ,  10.9558936018 ,  2.58979154403 , 
137.0 ,  1471.55528198 ,  154.669771771 ,  74.2266587127 ,  25.4149298906 ,  13.5344753738 , 
139.0 ,  2952.45871775 ,  303.906518553 ,  111.504601008 ,  38.8757269744 ,  8.05570155783 , 
245.0 ,  813.686777102 ,  119.649836342 ,  34.0621972851 ,  15.4341559727 ,  5.94554516099 , 
248.0 ,  40.8477875245 ,  11.9831266999 ,  9.17262970795 ,  3.62861847677 ,  3.4535676211 , 
251.0 ,  92.2571507091 ,  45.651087852 ,  16.8679711914 ,  8.40555934457 ,  2.45598980069 , 
255.0 ,  858.43449276 ,  101.251207784 ,  42.5090039476 ,  19.0990694979 ,  11.7595864234 , 
259.0 ,  1796.69469526 ,  193.295280417 ,  67.2400690091 ,  30.9669238286 ,  7.47203838228 , 
368.0 ,  458.312139166 ,  73.5666375865 ,  25.491649306 ,  11.6647558185 ,  5.30771989874 , 
372.0 ,  25.7068708914 ,  8.36874452661 ,  7.58841716191 ,  3.78504401865 ,  3.58891649073 , 
375.0 ,  67.748753074 ,  48.8720800055 ,  19.8098081311 ,  6.35171185869 ,  2.23978439104 , 
378.0 ,  467.685600704 ,  62.5057991089 ,  27.9342682619 ,  15.8935984017 ,  10.6892530219 , 
381.0 ,  1084.06942603 ,  109.684286446 ,  43.4288921771 ,  23.9909772153 ,  6.47465472183 , 
486.0 ,  279.474136807 ,  56.8823529681 ,  24.1226920902 ,  9.49626398216 ,  5.17244228387 , 
491.0 ,  18.2924579157 ,  6.15996222526 ,  6.19759131124 ,  3.94386397276 ,  3.7697314129 , 
494.0 ,  57.6033608394 ,  48.8779734312 ,  23.6948838886 ,  5.10513296371 ,  1.96346537376 , 
498.0 ,  283.975071953 ,  47.5470846734 ,  24.1734042611 ,  13.37868101 ,  9.92063908293 , 
501.0 ,  731.212865297 ,  75.1168859337 ,  37.901464003 ,  18.7585372669 ,  5.95616451051 , 
606.0 ,  279.474136807 ,  56.8823529681 ,  24.1226920902 ,  9.49626398216 ,  5.17244228387 , 
611.0 ,  18.2924579157 ,  6.15996222526 ,  6.19759131124 ,  3.94386397276 ,  3.7697314129 , 
615.0 ,  57.6033608394 ,  48.8779734312 ,  23.6948838886 ,  5.10513296371 ,  1.96346537376 , 
619.0 ,  283.975071953 ,  47.5470846734 ,  24.1734042611 ,  13.37868101 ,  9.92063908293 , 
622.0 ,  731.212865297 ,  75.1168859337 ,  37.901464003 ,  18.7585372669 ,  5.95616451051 , 
727.0 ,  151.871533396 ,  51.4492876922 ,  24.1373055186 ,  8.50116380848 ,  6.29310013513 , 
731.0 ,  11.0147032353 ,  3.78720046418 ,  3.6442736521 ,  4.19876743053 ,  4.07447222036 , 
734.0 ,  53.1930438464 ,  45.0164226671 ,  31.1151384416 ,  4.73184416827 ,  1.42340512477 , 
737.0 ,  124.662096596 ,  38.2082163396 ,  22.7452353874 ,  9.93144312372 ,  9.35267699457 , 
740.0 ,  412.912821481 ,  60.1381198224 ,  31.556870659 ,  11.7297063789 ,  5.68636518897 , 
844.0 ,  124.0365803 ,  43.390538716 ,  18.9798841125 ,  7.42459995523 ,  6.84773751173 , 
848.0 ,  9.24347358353 ,  2.9467270068 ,  2.5268013946 ,  4.17658406894 ,  4.09349670948 , 
850.0 ,  52.4507522821 ,  41.8781552742 ,  32.9316415133 ,  4.98677474447 ,  1.24863172783 , 
853.0 ,  87.0120233166 ,  32.3277003123 ,  18.7729998345 ,  8.44140735744 ,  9.49561006496 , 
858.0 ,  308.407991419 ,  51.8129419421 ,  24.3605500452 ,  8.84591735512 ,  5.49645643758 , 
