time, theta, alpha, low_beta, high_beta, gamma
2109,314.1487678,72.4866631,22.55371814,10.76653003,4.406077521
2109,110.7658845,43.22734758,24.55947452,14.82663298,9.29195772
2109,90.54453906,33.09317468,19.18128703,9.682121991,5.732266031
2109,113.4317448,39.28444048,22.32232547,10.98836119,5.075642559
2109,116.0531228,37.95679947,19.86301255,11.1957417,4.683622053
2210,261.5852854,46.62671661,11.71608125,4.300940873,1.584601774
2210,3.579863793,3.697702423,3.748761992,4.796148765,4.943031417
2210,2.566014491,2.782590922,5.689685256,2.285740854,2.644570274
2210,4.512479407,2.181559025,2.358933735,1.376189187,1.147569489
2210,4.788968581,1.91939301,1.387573401,1.692594648,0.705694222
2612,265.1546367,75.80122046,17.44817553,4.409752141,1.210573296
2612,5.528151036,2.755113649,4.465734724,4.699511799,5.057463291
2612,2.300217801,4.116328005,5.071080452,2.874893039,3.028626803
2612,4.473517989,2.976916442,2.611996155,1.367408551,1.108812599
2612,5.532923401,3.167135486,1.493489596,1.493850412,0.57053423
2813,256.0838452,74.53559739,15.84172036,3.765331995,0.879128144
2813,7.913104474,2.555002995,5.481734313,4.366870864,4.736733165
2813,2.101298059,5.005920799,3.722014209,2.762497917,3.016637951
2813,5.368186433,2.751837645,2.108592638,1.332309784,1.018665611
2813,6.539548041,2.934400665,1.430451861,1.098932213,0.453480135
3014,218.5458143,62.82594689,12.88139427,3.142193467,0.724850002
3014,7.392108364,2.383953761,5.720988875,4.069310933,4.330521898
3014,1.958398521,4.842339706,3.143504715,2.5164836,2.864277941
3014,5.664650182,2.339166153,1.837004353,1.398217663,0.986155832
3014,6.592814864,2.691379288,1.38554077,1.000906591,0.400404098
3114,156.5003771,47.93365852,9.262372497,2.747390128,0.681508277
3114,7.498224028,2.285388497,5.734189378,3.778727496,3.876227981
3114,1.726403179,4.201411883,2.602649593,2.19446963,2.633584525
3114,5.882564002,2.084655848,1.875700962,1.544943506,0.988358277
3114,7.805374221,2.330099514,1.411748781,1.016174048,0.363121201
3215,112.6624869,32.11933715,6.260096173,2.167695222,0.628750718
3215,6.01151797,2.075794319,5.187769105,3.551575518,3.450267052
3215,1.445814762,3.330289318,2.129867502,1.849069842,2.365876548
3215,5.626665244,1.706725596,1.965984665,1.708292063,1.011762313
3215,7.509551032,2.137462158,1.329315555,1.104894604,0.348016328
3416,55.60563523,19.11557325,3.654722833,1.632436186,0.527129225
3416,5.226498607,2.044145262,4.445972807,3.587468765,3.106122475
3416,1.127898393,2.368243522,1.660377432,1.548206588,2.110600659
3416,5.717636802,1.52185472,2.265933333,1.881892785,1.030412789
3416,8.346183572,2.21361991,1.399508646,1.264621499,0.378827758
3516,40.10107944,12.82154797,2.99747567,1.708488036,0.615345048
3516,4.33969036,1.956549119,3.562500966,3.907405239,2.830004835
3516,0.860475995,1.609977994,1.362182115,1.31903927,1.879418871
3516,5.671701823,1.357301903,2.756295906,2.028158571,1.016293359
3516,9.407509016,2.117877364,1.390270099,1.366819378,0.394898128
3616,34.97910068,10.5468137,2.594691756,1.615331435,0.586545585
3616,4.380254978,2.04445501,2.814912101,4.423649722,2.628874667
3616,0.746920686,1.153320614,1.211739414,1.163028781,1.679478987
3616,5.877785908,1.287014559,3.25162985,2.074230314,0.968193653
3616,12.71786222,2.469923742,1.574863915,1.427948529,0.433163523
3717,65.88270374,12.06005431,3.576107346,1.940836786,0.725770385
3717,4.918467218,2.224802632,2.30876039,4.963714218,2.476787334
3717,0.772550121,1.02645197,1.199332818,1.084977157,1.509896842
3717,6.054226761,1.213364889,3.602904803,2.001748656,0.888686686
3717,20.62801295,3.150891092,1.775006573,1.373527868,0.451661806
3817,123.8199334,14.65785771,4.010695457,1.819407605,0.695015742
3817,5.863455356,2.55033806,2.077307198,5.286940068,2.373181321
3817,0.922069993,1.100213522,1.269245799,1.055611606,1.371946733
3817,5.998706918,1.17790905,3.762548467,1.833492359,0.80245508
3817,32.67609475,4.11949267,1.991083901,1.225770427,0.449666745
3918,123.8199334,14.65785771,4.010695457,1.819407605,0.695015742
3918,5.863455356,2.55033806,2.077307198,5.286940068,2.373181321
3918,0.922069993,1.100213522,1.269245799,1.055611606,1.371946733
3918,5.998706918,1.17790905,3.762548467,1.833492359,0.80245508
3918,32.67609475,4.11949267,1.991083901,1.225770427,0.449666745
4018,170.2356832,19.12777829,3.873857925,1.563809811,0.624950708
4018,6.848823592,2.961074467,2.048417851,5.316412528,2.339403338
4018,1.116849671,1.308438696,1.333315261,1.059210278,1.294545074
4018,5.804683758,1.21870144,3.706545999,1.641341455,0.725732955
4018,48.26670871,5.310567832,2.195109181,1.04728727,0.426145522
4119,242.4290551,22.90152449,3.271580974,1.364733767,0.523466494
4119,7.553583258,3.403897223,2.205284593,5.037240865,2.378504307
4119,1.309867404,1.527573282,1.351983066,1.087903974,1.274322568
4119,5.221281479,1.440079673,3.439354607,1.503843935,0.68357735
4119,62.47296076,6.417797734,2.310855041,0.894859404,0.394129118
4220,262.4624277,25.45624485,3.147763477,1.233863699,0.450000705
4220,7.928930948,3.820965185,2.574426113,4.567635219,2.513565589
4220,1.499511476,1.723600963,1.333574101,1.116720216,1.287261132
4220,4.67515027,1.978842533,3.126631627,1.475169511,0.691720929
4220,70.98280525,7.211540326,2.313408513,0.832400025,0.370986894
4321,274.5017183,25.44757434,2.596320964,1.183605145,0.429980724
4321,7.542529689,4.043792636,2.941338662,4.101570569,2.737546075
4321,1.70371378,1.862584601,1.283633068,1.179150993,1.314145585
4321,4.196086942,2.647634296,2.795850614,1.535492653,0.733043387
4321,71.13850627,7.49964529,2.225609701,0.871739771,0.369111642
4422,274.5017183,25.44757434,2.596320964,1.183605145,0.429980724
4422,7.542529689,4.043792636,2.941338662,4.101570569,2.737546075
4422,1.70371378,1.862584601,1.283633068,1.179150993,1.314145585
4422,4.196086942,2.647634296,2.795850614,1.535492653,0.733043387
4422,71.13850627,7.49964529,2.225609701,0.871739771,0.369111642
4522,227.6263651,22.89699337,2.647295446,1.18420205,0.432113612
4522,6.893197822,4.157991987,3.280251593,3.792088823,3.003686564
4522,2.022920643,1.973341684,1.217688814,1.300213439,1.329457112
4522,3.627826714,3.546580838,2.511861001,1.656127667,0.798715297
4522,60.96000241,7.325397009,2.042650431,1.00244123,0.39169751
4622,178.5144357,18.4382923,2.106792634,1.233025013,0.462960618
4622,5.628527692,4.040419534,3.445035045,3.772236619,3.258247916
4622,2.714104168,2.070917995,1.156362188,1.520158081,1.328825237
4622,3.171262514,4.263031504,2.31564125,1.722594052,0.86197035
4622,46.56588827,6.695417338,1.893455145,1.168236732,0.447705454
4723,109.2488882,13.36162378,1.959150828,1.18766109,0.474822324
4723,6.202867753,4.154608033,3.647943848,4.055938177,3.411248607
4723,5.048800544,3.377255951,1.215736063,1.889859169,1.315103868
4723,5.112321544,4.814605569,2.21994329,1.72740202,0.905008701
4723,59.06833017,6.285662568,2.936012473,1.721264558,0.587367063
5125,15.18321586,4.767476945,1.421985364,1.246393949,0.858761508
5125,33.7289425,7.76490278,5.238473276,5.736427509,3.174489967
5125,60.5433511,20.50802783,5.551752841,3.689221327,1.219586257
5125,34.96679328,4.187598064,2.922840061,1.382600015,0.874453571
5125,348.1723012,37.78096942,19.81452831,8.964609534,2.013224007
5628,31.6524024,3.908829876,3.196288687,1.672494957,1.546793214
5628,140.6010587,17.11327194,7.236465295,9.003085051,3.789055893
5628,303.9185501,71.80596348,20.42175502,5.147611782,1.124011759
5628,209.8857153,3.944934511,7.301132076,2.979769246,1.632691395
5628,1606.01819,125.0352896,67.93731191,29.24560477,4.133637809
6030,34.20154829,3.856210655,3.630363177,1.353275106,1.056425667
6030,96.82230198,10.01341943,3.74557842,7.312241027,4.694470076
6030,231.3270483,40.55664075,13.81931733,3.189171832,0.967427883
6030,191.1848364,5.591890515,7.362361914,3.682222218,1.996233776
6030,1238.519771,73.58347523,41.24791041,16.74522305,2.530027489
6130,29.99647602,3.881865656,3.124199282,1.170120129,0.874104695
6130,66.00291447,6.761283502,2.870452214,6.229679552,4.81945724
6130,159.9619441,25.26759069,9.791789407,2.477295066,0.906000457
6130,144.4698284,5.985271484,5.97234321,3.278141468,1.912269212
6130,894.8570321,47.50843182,26.45873958,10.42898786,1.832964024
6231,31.09670005,6.567231867,3.496496142,1.057841595,0.832415923
6231,40.06159282,4.264031337,2.584516044,5.417611294,4.925098865
6231,95.03946693,14.17632771,6.678079182,1.962582981,0.894845607
6231,96.60579798,6.216621153,4.469382797,2.680870404,1.794601833
6231,572.2187037,27.49596636,14.88485898,5.607126234,1.346047317
6533,65.67053101,13.1656419,8.207904372,3.185991832,1.146212075
6533,18.90375585,2.34070256,3.272035798,5.334904887,5.715560652
6533,23.39873548,6.331089649,4.076413588,1.771060955,1.065248465
6533,33.25449168,5.662138917,3.273038059,1.660600886,1.693342077
6533,148.2594499,13.30359314,4.848443401,2.032379364,1.073059461
6633,290.3552123,38.45716446,25.01116792,11.22045008,2.128395804
6633,102.0064345,18.56996367,6.027789382,8.359576303,7.154128097
6633,13.56983976,6.122752181,3.897211471,1.957489971,1.228318296
6633,113.9808915,17.06709766,8.797587107,4.928245621,2.321305556
6633,145.0593683,25.74669383,6.342792436,3.80735626,1.617963781
6734,561.7022409,94.92487913,67.78995084,24.07292978,3.853227001
6734,160.8645822,55.86669387,24.21172375,12.62074074,9.316805257
6734,7.793686893,6.850745129,3.81824425,2.202961854,1.383717288
6734,163.0263013,53.86120073,33.47685662,11.16931718,3.781089218
6734,204.4253419,50.65951287,15.84945717,5.381412089,1.737254145
6834,1461.994309,261.49587,150.0999434,52.17087794,7.499118052
6834,596.3406017,167.0313803,52.80871345,22.94028639,12.81435025
6834,7.139571892,8.411015335,3.636531424,2.431427577,1.508094835
6834,617.4095466,159.5633742,78.55183725,27.28330678,6.908951
6834,563.1216054,126.0052637,41.45711274,14.04238626,3.575587663
7035,2627.98858,594.6165936,313.3654147,96.52342239,12.24112806
7035,1174.015453,396.2856885,138.7574449,40.6361879,16.54360203
7035,6.979581834,10.66656596,3.276664064,2.482983265,1.558632435
7035,1152.8429,392.8940693,191.9462392,58.18568333,11.91949212
7035,1030.61125,267.6652917,93.92121682,30.19264841,6.69749068
7135,4708.020104,1100.110767,512.258339,152.1060732,17.31052246
7135,2374.769121,719.9717627,228.248212,63.22377506,19.85701102
7135,8.200827376,12.97498147,3.152351448,2.39735395,1.554930901
7135,2371.761795,724.3233038,326.5606062,101.7413479,18.32087088
7135,1887.201086,465.4392748,166.0504242,54.16700558,11.44752514
7236,6485.400517,1712.054199,764.2229535,207.9183438,21.79183947
7236,3487.829793,1116.266465,371.6184297,88.32472944,22.21363625
7236,8.559975049,14.83433989,2.911870878,2.159829241,1.50476763
7236,3404.612838,1146.471894,521.0329994,150.7241917,25.39500726
7236,2500.003064,681.8501285,256.759726,79.15238516,16.16573055
7336,8286.99596,2233.184272,937.2581681,249.6117886,24.75222266
7336,4713.648812,1438.59821,465.2151057,109.0375344,23.13796424
7336,11.77161967,15.71530052,3.564081078,2.065751023,1.469131213
7336,4625.519058,1481.740035,649.8353159,191.986849,30.98489481
7336,3131.025475,840.4400547,318.7758028,99.55956149,20.05636219
7437,8877.476489,2545.487686,1043.652114,263.829908,25.11176883
7437,5265.302288,1627.733132,538.7088474,118.1112642,21.84123019
7437,12.35834027,17.20603859,3.833567826,1.892908067,1.371640915
7437,5091.47368,1690.864971,746.4001844,211.5302161,33.43093357
7437,3227.695659,913.3592046,360.8936967,108.5877574,21.50659674
7638,8514.26227,2481.303515,984.1002359,245.9129428,22.94826271
7638,5275.35507,1589.541739,519.70789,115.7942104,19.51311444
7638,15.22918568,20.84767108,5.176677523,2.543636519,1.708899361
7638,5053.925747,1635.884303,710.3169936,204.3393695,31.96951617
7638,2997.37793,850.2861779,341.0093565,104.0965324,20.4505321
7739,7097.259013,2103.619406,823.9273101,201.1860574,18.55455421
7739,4605.206301,1342.430758,443.4877114,96.53380131,15.53599499
7739,27.53609756,31.60410383,7.695854983,3.55396601,1.696426232
7739,4306.225537,1375.078563,601.9528663,171.7378068,26.5894201
7739,2420.276073,684.616862,287.8975017,86.68302724,16.86375273
7839,5161.019657,1530.997287,599.6653004,143.973805,13.44427783
7839,3637.314485,1002.29362,338.8175956,74.33465976,12.34088767
7839,48.81518491,51.23604545,13.01913947,6.858883713,2.474601538
7839,3213.930397,994.2943422,445.1574535,125.8240609,19.53875261
7839,1724.290382,479.1210985,217.1914501,63.88404285,12.23177974
7939,3254.736076,944.8840402,408.1107217,91.03645768,8.6476521
7939,2837.249274,667.7043803,254.7741339,57.82730126,10.58565928
7939,127.3420062,91.0577093,25.46867286,14.99795134,4.801336233
7939,2146.114313,615.3092078,308.0025662,81.63132607,12.79328588
7939,1142.922359,300.6660437,168.1700204,43.66687128,7.810291614
8141,1833.731655,518.4791076,290.8348223,56.15132261,5.674615697
8141,2523.764481,457.0460229,234.3339722,54.39316515,10.68398961
8141,257.8141414,146.3854416,50.05509014,29.35318872,9.416438732
