Time, Wireless Strength, Battery Level, AF3, T7, Pz, T8, AF4 ,
0.909892559,2,-1,4,1,0,4,4, 
,,,,,,,,
1.034976125,2,-1,4,1,0,4,4, 
,,,,,,,,
1.160459638,2,-1,4,1,0,4,4, 
,,,,,,,,
1.286543131,2,-1,4,1,0,4,4, 
,,,,,,,,
1.544590473,2,-1,4,1,0,4,4, 
,,,,,,,,
1.669273973,2,-1,4,1,0,4,4, 
,,,,,,,,
1.794357419,2,-1,4,1,0,4,4, 
,,,,,,,,
2.044524431,2,-1,4,1,0,4,4, 
,,,,,,,,
2.170207977,2,-1,4,1,0,4,4, 
,,,,,,,,
2.26437068,2,-1,4,1,0,4,4, 
,,,,,,,,
2.295891523,2,-1,4,1,0,4,4, 
,,,,,,,,
2.429355383,2,-1,4,1,0,4,4, 
,,,,,,,,
2.522717953,2,-1,4,1,0,4,4, 
,,,,,,,,
2.554038763,2,-1,4,1,0,4,4, 
,,,,,,,,
2.678522348,2,-1,4,1,0,4,4, 
,,,,,,,,
2.709643364,2,-1,4,1,0,4,4, 
,,,,,,,,
2.803805828,2,-1,4,1,0,4,4, 
,,,,,,,,
2.929089546,2,-1,4,1,0,4,4, 
,,,,,,,,
3.054672956,2,-1,4,1,0,4,4, 
,,,,,,,,
3.179756641,2,-1,4,1,0,4,4, 
,,,,,,,,
3.305040121,2,-1,4,1,0,4,4, 
,,,,,,,,
3.367881775,2,-1,4,1,0,4,4, 
,,,,,,,,
3.500645638,2,-1,4,1,0,4,4, 
,,,,,,,,
3.531766415,2,-1,4,1,0,4,4, 
,,,,,,,,
3.789413691,2,-1,4,1,0,4,4, 
,,,,,,,,
3.914097309,2,-1,4,1,0,4,4, 
,,,,,,,,
4.039180756,2,-1,4,1,0,4,4, 
,,,,,,,,
4.164064407,2,-1,4,1,0,4,4, 
,,,,,,,,
4.289347649,2,-1,4,1,0,4,4, 
,,,,,,,,
4.415231228,2,-1,4,1,0,4,4, 
,,,,,,,,
4.539814949,2,-1,4,1,0,4,4, 
,,,,,,,,
4.789681911,2,-1,4,1,0,4,4, 
,,,,,,,,
4.915565491,2,-1,4,1,0,4,4, 
,,,,,,,,
5.040549278,2,-1,4,1,0,4,4, 
,,,,,,,,
5.165632725,2,-1,4,1,0,4,4, 
,,,,,,,,
5.259595394,2,-1,4,1,0,4,4, 
,,,,,,,,
5.291116238,2,-1,4,1,0,4,4, 
,,,,,,,,
5.416399479,2,-1,4,1,0,4,4, 
,,,,,,,,
5.548963547,2,-1,4,1,0,4,4, 
,,,,,,,,
5.673447132,2,-1,4,1,0,4,4, 
,,,,,,,,
5.797930241,2,-1,4,1,0,4,4, 
,,,,,,,,
5.923014164,2,-1,4,1,0,4,4, 
,,,,,,,,
6.04809761,2,-1,4,1,0,4,4, 
,,,,,,,,
6.172684193,2,-1,4,1,0,4,4, 
,,,,,,,,
6.297858715,2,-1,4,1,0,4,4, 
,,,,,,,,
6.422876358,2,-1,4,1,0,4,4, 
,,,,,,,,
6.554810047,2,-1,4,1,0,4,4, 
,,,,,,,,
6.678975105,2,-1,4,1,0,4,4, 
,,,,,,,,
6.803088188,2,-1,4,1,0,4,4, 
,,,,,,,,
7.053518772,2,-1,4,1,0,4,4, 
,,,,,,,,
7.178429604,2,-1,4,1,0,4,4, 
,,,,,,,,
7.30375433,2,-1,4,1,0,4,4, 
,,,,,,,,
7.335045338,2,-1,4,1,0,4,4, 
,,,,,,,,
7.429281235,2,-1,4,1,0,4,4, 
,,,,,,,,
7.499373436,2,-1,4,1,0,4,4, 
,,,,,,,,
7.530228138,2,-1,4,1,0,4,4, 
,,,,,,,,
7.654653549,2,-1,4,1,0,4,4, 
,,,,,,,,
7.779363155,2,-1,4,1,0,4,4, 
,,,,,,,,
7.904479504,2,-1,4,1,0,4,4, 
,,,,,,,,
8.030003548,2,-1,4,1,0,4,4, 
,,,,,,,,
8.155343056,2,-1,4,1,0,4,4, 
,,,,,,,,
8.280883789,2,-1,4,1,0,4,4, 
,,,,,,,,
8.406869888,2,-1,4,1,0,4,4, 
,,,,,,,,
8.539387703,2,-1,4,1,0,4,4, 
,,,,,,,,
8.663420677,2,-1,4,1,0,4,4, 
,,,,,,,,
8.788760185,2,-1,4,1,0,4,4, 
,,,,,,,,
8.914308548,2,-1,4,1,0,4,4, 
